Pathway,Number of Genes,Number of Impacted Genes,Number of Molecules,Mean Similarity Active,Mean Similarity non-Active,Mean Variance Active,Mean Variance non-Active,Kurtosis Active,Kurtosis Inactive,Skewness Active,Skewness Inactive,P-Value Levene Test,P-Value Kolmogorov-Smirnov Test,P-Value Kolmogorov-Smirnov Test Left,P-Value Kolmogorov-Smirnov Test Right,P-Value extreme values Test (Fisher exact) Left,P-Value extreme values Test (Fisher exact) Right,Proportion extreme values Left Active,Proportion extreme values Left Inactive,Proportion extreme values Right Active,Proportion extreme values Right Inactive
DNA_REPAIR,150,5,19,0.020721385,0.0027128905,0.016336784,0.012185024,1.0205943873070522,2.0492507575070116,-0.186029738963583,0.22961968353929435,0.02720657597311848,0.004893498525287239,0.6308740973091422,0.014284878814390596,0.0775021513133788,0.029047904745490034,0.05847953216374269,0.03250050010002,0.06432748538011696,0.03267653530706141
E2F_TARGETS,200,17,424,0.13382779,0.0031826242,0.12317076,0.011689974,-0.6211052892451883,1.5796543375763044,0.44201085807243656,0.14182044362089233,0.0,0.0,0.0,0.0,0.0,0.0,0.16261284572480017,0.03046145229045809,0.37208901155770224,0.031220724144828967
EPITHELIAL_MESENCHYMAL_TRANSITION,200,9,103,0.0203873,0.0024506678,0.06032181,0.011979643,2.2664067434518005,1.8930027683034565,1.1406049365497921,0.20657843595769007,0.0,6.037502204343667e-81,3.1136130594219366e-134,2.8467058198111418e-157,6.372465510667024e-228,1.9622795849973288e-296,0.13573196268798782,0.03177435487097419,0.15419760137064534,0.031841968393678734
ESTROGEN_RESPONSE_EARLY,200,15,398,0.071328096,0.0024091203,0.07107385,0.012371765,1.0312601268042014,2.1270635268241795,1.0093231203636033,0.2370421219503318,0.0,0.0,0.0,0.0,0.0,0.0,0.10509771764384311,0.033672334466893376,0.22897362306956404,0.033094698939787955
ESTROGEN_RESPONSE_LATE,200,15,475,0.078213386,0.002815238,0.07262553,0.012196418,0.9948452333564499,1.8907480492406634,1.0540955450713996,0.19299734964976184,0.0,0.0,0.0,0.0,0.0,0.0,0.0973474801061008,0.032885617123424686,0.2345122310639552,0.03300732146429286
FATTY_ACID_METABOLISM,158,8,47,0.010012388,0.0026656971,0.04995379,0.0120336665,3.056514028699546,1.8672275837420846,1.3280661524137263,0.21477391171015586,1.1807949561277469e-241,1.3983833723314642e-16,1.6213621226671835e-25,1.1451476317313257e-23,1.1618812628452889e-42,1.3096766326811716e-40,0.1276595744680851,0.031794358871774356,0.12580943570767808,0.03232654530906181
G2M_CHECKPOINT,200,21,530,0.13642916,0.0030002007,0.11831052,0.0118044475,-0.5230606459573357,1.6594055712708808,0.5024610617795827,0.17564020406801467,0.0,0.0,0.0,0.0,0.0,0.0,0.13979961794861798,0.030894178835767155,0.35959611711044404,0.031531506301260254
GLYCOLYSIS,200,12,420,0.10418183,0.0028071755,0.10598021,0.0120976195,-0.2207513370969192,1.8240864153327117,0.595382492470017,0.1967166552812105,0.0,0.0,0.0,0.0,0.0,0.0,0.1546777546777547,0.032526825365073016,0.3191862191862192,0.03260308061612322
HEDGEHOG_SIGNALING,36,5,29,0.0053396337,0.002914861,0.017314833,0.011933002,4.431309182168749,1.8754232781223061,0.7425391916868239,0.1976419239374876,1.38723670808918e-06,0.2154725916423711,0.013850469089034825,0.040028399107717716,0.0008333931873293896,0.0009485240715583407,0.06403940886699508,0.03142924584916983,0.06403940886699508,0.031935827165433084
HEME_METABOLISM,200,8,177,0.091303155,0.0023346476,0.10619723,0.012299356,-0.219946582546938,2.001235023024246,0.5953074839832684,0.238340050208301,0.0,3.1467278956071005e-207,7.886559297029336e-149,0.0,1.7322227961814886e-219,0.0,0.1831578947368421,0.03311990398079616,0.3126315789473684,0.033203120624124824
HYPOXIA,200,11,267,0.06314096,0.003342716,0.08149719,0.011755055,0.7819847599482035,1.524676299643959,0.9305422017770446,0.1388662137476837,0.0,0.0,0.0,0.0,0.0,0.0,0.13551665725578768,0.030741828365673133,0.23278750235271975,0.031640488097619525
IL2_STAT5_SIGNALING,199,20,484,0.012818503,0.0027380239,0.03319496,0.012134002,4.59852611526727,2.076442445666795,1.3382847510471323,0.22541890014453544,0.0,9.46970974237818e-295,0.0,0.0,0.0,0.0,0.07565020197009426,0.03228949789957992,0.09528027779746297,0.03235615123024605
IL6_JAK_STAT3_SIGNALING,87,10,148,0.04433201,0.0030909688,0.069846146,0.01195096,1.6455353917386475,1.7603147636211265,1.2178585448539416,0.1722920405243432,0.0,1.5261784015607128e-144,5.49770356030963e-174,3.609522226113e-312,5.303922705569672e-255,0.0,0.12979351032448377,0.03158967793558712,0.18754851731097655,0.03199799959991998
INFLAMMATORY_RESPONSE,200,23,434,0.01275064,0.0022183005,0.048648853,0.012179306,2.1986937066819063,2.1920713058362162,0.8537882760356861,0.26099426476769183,0.0,0.0,0.0,0.0,0.0,0.0,0.13183557183557185,0.03236839367873575,0.14266178266178267,0.03223052610522104
INTERFERON_ALPHA_RESPONSE,97,2,37,-0.0021933878,0.0028304346,0.021084495,0.0118928095,4.571776829354785,1.818850895219355,0.8851402443449592,0.18770326503693235,5.621587541009965e-14,0.024687901513950727,0.0021448281633857235,0.011626506098498489,9.319249821401688e-07,0.0025456223715780183,0.06906906906906907,0.031203200640128024,0.05405405405405406,0.0316872974594919
INTERFERON_GAMMA_RESPONSE,200,21,495,0.015767353,0.0031449168,0.037702575,0.011767914,3.894285908536536,1.679924631880442,1.2547578000224886,0.1648598128543935,0.0,0.0,0.0,0.0,0.0,0.0,0.08566936098076308,0.03042232446489298,0.10888632287546372,0.0316371274254851
KRAS_SIGNALING_DN,200,13,180,0.049203563,0.0030176982,0.08295151,0.012147337,0.8301060175566719,1.702523259833054,1.0634771290137621,0.1718636535565011,0.0,8.201416085816738e-174,2.1423117481718716e-266,0.0,0.0,0.0,0.15904995904995906,0.03273334666933387,0.21162981162981162,0.0332872174434887
KRAS_SIGNALING_UP,200,13,153,0.023676828,0.0027450335,0.060849264,0.011715144,1.9742188611919955,1.7216473800494931,1.1286029702501388,0.16700024266964156,0.0,5.975783881043291e-208,0.0,0.0,0.0,0.0,0.14700243987452075,0.030538027605521104,0.16303590101080515,0.030986837367473496
MITOTIC_SPINDLE,199,18,568,0.10849987,0.003115979,0.10958076,0.011656818,-0.20641221004148314,1.4374010825063914,0.7289779644602866,0.14893735084338564,0.0,0.0,0.0,0.0,0.0,0.0,0.13842352359772672,0.03007889577915583,0.3082777365950086,0.03131826365273055
MTORC1_SIGNALING,200,14,474,0.025567725,0.0028355455,0.045216154,0.012042092,3.4286848120082203,1.7525409306682533,1.3522371441891932,0.17287732588263371,0.0,0.0,0.0,0.0,0.0,0.0,0.08321575709690163,0.032144748949789956,0.1273491732039054,0.03253162632526505
MYC_TARGETS_V1,200,11,237,0.13420872,0.0028578315,0.12962323,0.011683085,-0.6270622444142577,1.567848348645514,0.5877916809433157,0.16735553062257913,0.0,0.0,0.0,0.0,0.0,0.0,0.15516509634156692,0.03015635127025405,0.3519225872167049,0.03128561712342468
MYC_TARGETS_V2,58,4,165,0.14319193,0.0026820486,0.13328749,0.012025903,-0.7379166867664875,1.9570663580898096,0.4236159890049661,0.2170606231469701,0.0,0.0,1.6376754669469392e-218,0.0,1.2159941262842204e-275,0.0,0.162434225577671,0.03167833566713343,0.3818348204072295,0.03233510702140428
MYOGENESIS,200,12,387,0.028408242,0.0026661516,0.07872015,0.012015255,0.6606073202950604,1.9526425897256914,0.649704164352107,0.20788153987174218,0.0,0.0,0.0,0.0,0.0,0.0,0.19883766488180749,0.031899659931986395,0.2303447825519133,0.03201696339267854
NOTCH_SIGNALING,32,2,3,0.072219014,0.0025567156,0.21001737,0.012091847,-1.500000063096661,2.047537785641551,0.7052344874861396,0.22190603874792525,1.6815565233117193e-09,0.08628158330659316,0.002155080936736216,0.001204716246800741,0.00308020861015504,0.09251149298139183,0.6666666666666666,0.03239431886377275,0.3333333333333333,0.031840128025605124
OXIDATIVE_PHOSPHORYLATION,200,5,20,-0.017343964,0.002678112,0.06002182,0.011789488,1.8191430744394816,1.7988849319051727,0.7090773305183581,0.19992649863412063,3.6743951864987505e-61,2.655355714176982e-07,9.34829032707257e-10,1.037673703498653e-06,6.518297075508383e-13,3.121062227426236e-07,0.18382352941176472,0.030535387077415484,0.1323529411764706,0.031409641928385676
P53_PATHWAY,200,19,306,0.06206103,0.0022028817,0.09188016,0.012140185,0.4986066537032512,2.0158451971635216,0.869134948857842,0.24736744327726165,0.0,0.0,0.0,0.0,0.0,0.0,0.1625,0.03231518303660732,0.2437111801242236,0.03235135027005401
PANCREAS_BETA_CELLS,40,4,44,0.18139242,0.003058676,0.14363366,0.012179514,-1.0611650869210978,1.7425088004552691,0.18620667625085147,0.18747427556253105,0.0,1.2520688243161167e-170,7.500048320062343e-88,5.398273116404598e-286,2.976127418267275e-91,0.0,0.2029598308668076,0.032574674934986995,0.4704016913319239,0.033335707141428285
PEROXISOME,104,7,53,0.08520201,0.0026440106,0.113006346,0.011802349,-0.2776227056328171,1.7346476165813218,0.6818171012355763,0.18916977060565518,0.0,4.890658295700016e-97,2.3994645526860216e-120,1.4563126074666638e-191,1.008449898493883e-144,6.573012565661328e-284,0.20827285921625543,0.03076991398279656,0.3076923076923077,0.03130122024404881
PI3K_AKT_MTOR_SIGNALING,105,18,906,0.029696964,0.0034194249,0.048535913,0.011910523,2.922622596129316,1.6719811773796263,1.3059863647259524,0.15472027867773502,0.0,0.0,0.0,0.0,0.0,0.0,0.09109360866591656,0.03127753550710142,0.1430641045440172,0.03237127425485097
PROTEIN_SECRETION,96,1,118,0.18529773,0.00265523,0.13848945,0.011920853,-0.9391254868092789,1.6322155100711164,0.23419411851704028,0.17946052407114538,0.0,0.0,0.0,0.0,0.0,0.0,0.16268289149645082,0.03161760352070414,0.45429523395625093,0.03184908981796359
