Source,Screen,Threshold,EF,EF,EF,Normalized_EF,Normalized_EF,Normalized_EF,Hit Rate Selected,Hit Rate Selected,Hit Rate Selected,Hit Rate Random,N Selected,N Selected,N Selected,N Hits,N Compounds
,,,mean,median,max,mean,median,max,mean,median,max,mean,mean,median,max,mean,mean
Curie,biophoenix_3,10,2.229885057471264,2.229885057471264,4.459770114942528,22.222222222222218,22.222222222222218,44.444444444444436,0.06896551724137931,0.06896551724137931,0.13793103448275862,0.030927835051546393,29.0,29.0,29,9.0,291.0
Curie,biophoenix_4,1,4.013734658094681,3.850574712643678,5.775862068965517,69.49152542372882,66.66666666666666,100.0,0.6949152542372882,0.6666666666666666,1.0,0.17313432835820897,3.0,3.0,3,58.0,335.0
Curie,biophoenix_4,3,3.710257159555815,4.043103448275861,5.775862068965517,64.23728813559322,69.99999999999999,100.0,0.6423728813559322,0.7,1.0,0.17313432835820897,10.0,10.0,10,58.0,335.0
Curie,biophoenix_4,5,3.4202403565166564,4.331896551724138,5.414870689655172,59.21610169491525,75.0,93.74999999999999,0.5921610169491526,0.75,0.9375,0.17313432835820897,16.0,16.0,16,58.0,335.0
Curie,biophoenix_4,10,2.9398455625808046,3.5005224660397074,4.725705329153605,50.898818695428865,60.60606060606061,81.81818181818183,0.5089881869542887,0.6060606060606061,0.8181818181818182,0.17313432835820897,33.0,33.0,33,58.0,335.0
Curie,biophoenix_5,1,5.519157088122605,3.850574712643678,11.551724137931034,47.77777777777778,33.33333333333333,100.0,0.47777777777777775,0.3333333333333333,1.0,0.08656716417910447,3.0,3.0,3,29.0,335.0
Curie,biophoenix_5,3,5.313793103448275,6.93103448275862,9.241379310344827,46.0,60.0,80.0,0.45999999999999996,0.6,0.8,0.08656716417910447,10.0,10.0,10,29.0,335.0
Curie,biophoenix_5,5,4.981681034482759,5.775862068965517,7.941810344827585,43.125,50.0,68.75,0.43125,0.5,0.6875,0.08656716417910447,16.0,16.0,16,29.0,335.0
Curie,biophoenix_5,10,4.142284918146987,4.90073145245559,6.300940438871472,40.804597701149426,48.275862068965516,62.06896551724137,0.3585858585858586,0.42424242424242425,0.5454545454545454,0.08656716417910447,33.0,33.0,33,29.0,335.0
Curie,biophoenix_6,1,3.731762065095398,4.320987654320987,6.481481481481482,57.57575757575757,66.66666666666666,100.0,0.5757575757575757,0.6666666666666666,1.0,0.15428571428571428,3.0,3.0,3,54.0,350.0
Curie,biophoenix_6,3,3.417508417508418,3.888888888888889,6.481481481481482,52.72727272727273,60.0,100.0,0.5272727272727272,0.6,1.0,0.15428571428571428,10.0,10.0,10,54.0,350.0
Curie,biophoenix_6,5,3.029312735195088,3.431372549019608,5.718954248366013,46.7379679144385,52.94117647058824,88.23529411764706,0.46737967914438505,0.5294117647058824,0.8823529411764706,0.15428571428571428,17.0,17.0,17,54.0,350.0
Curie,biophoenix_6,10,2.6127946127946124,2.7777777777777777,5.555555555555555,40.31168831168831,42.857142857142854,85.71428571428571,0.4031168831168831,0.42857142857142855,0.8571428571428571,0.15428571428571428,35.0,35.0,35,54.0,350.0
Curie,biophoenix_7,1,5.764705882352941,6.222222222222222,9.333333333333334,61.76470588235294,66.66666666666666,100.0,0.6176470588235294,0.6666666666666666,1.0,0.10714285714285714,3.0,3.0,3,33.0,308.0
Curie,biophoenix_7,3,5.978213507625273,7.2592592592592595,9.333333333333334,64.05228758169935,77.77777777777779,100.0,0.6405228758169935,0.7777777777777778,1.0,0.10714285714285714,9.0,9.0,9,33.0,308.0
Curie,biophoenix_7,5,5.343790849673203,6.222222222222222,8.711111111111112,57.254901960784316,66.66666666666666,93.33333333333333,0.5725490196078431,0.6666666666666666,0.9333333333333333,0.10714285714285714,15.0,15.0,15,33.0,308.0
Curie,biophoenix_7,10,4.447058823529412,5.133333333333334,7.155555555555557,47.64705882352941,55.0,76.66666666666667,0.4764705882352941,0.55,0.7666666666666667,0.10714285714285714,30.0,30.0,30,33.0,308.0
Curie,biophoenix_8,1,7.723346828609986,9.31578947368421,12.421052631578949,62.17948717948718,74.99999999999999,100.0,0.6217948717948718,0.75,1.0,0.08050847457627118,4.0,4.0,4,38.0,472.0
Curie,biophoenix_8,3,7.279737806053595,8.87218045112782,11.533834586466167,58.6080586080586,71.42857142857142,92.85714285714286,0.5860805860805861,0.7142857142857143,0.9285714285714286,0.08050847457627118,14.0,14.0,14,38.0,472.0
Curie,biophoenix_8,5,6.452854544387725,8.100686498855836,10.260869565217392,51.95094760312151,65.21739130434783,82.6086956521739,0.5195094760312151,0.6521739130434783,0.8260869565217391,0.08050847457627118,23.0,23.0,23,38.0,472.0
Curie,biophoenix_8,10,4.851867803715509,6.078387458006719,6.8712206047032485,48.31309041835358,60.526315789473685,68.42105263157896,0.3906164757228587,0.48936170212765956,0.5531914893617021,0.08050847457627118,47.0,47.0,47,38.0,472.0
Curie,biophoenix_9,1,1.4793103448275862,0.0,3.413793103448276,43.333333333333336,0.0,100.0,0.43333333333333335,0.0,1.0,0.29292929292929293,1.0,1.0,1,29.0,99.0
Curie,biophoenix_9,3,1.3086206896551724,1.706896551724138,3.413793103448276,38.333333333333336,50.0,100.0,0.38333333333333336,0.5,1.0,0.29292929292929293,2.0,2.0,2,29.0,99.0
Curie,biophoenix_9,5,1.3655172413793104,1.706896551724138,2.560344827586207,40.0,50.0,75.0,0.4,0.5,0.75,0.29292929292929293,4.0,4.0,4,29.0,99.0
Curie,biophoenix_9,10,1.2770114942528736,1.5172413793103448,2.275862068965517,37.407407407407405,44.44444444444444,66.66666666666666,0.37407407407407406,0.4444444444444444,0.6666666666666666,0.29292929292929293,9.0,9.0,9,29.0,99.0
Curie,biophoenix_10,1,1.9134453781512604,2.911764705882353,2.911764705882353,65.71428571428571,100.0,100.0,0.6571428571428571,1.0,1.0,0.3434343434343434,1.0,1.0,1,34.0,99.0
Curie,biophoenix_10,3,1.7470588235294116,1.4558823529411764,2.911764705882353,60.0,50.0,100.0,0.6,0.5,1.0,0.3434343434343434,2.0,2.0,2,34.0,99.0
Curie,biophoenix_10,5,1.7678571428571428,2.183823529411765,2.911764705882353,60.714285714285715,75.00000000000001,100.0,0.6071428571428571,0.75,1.0,0.3434343434343434,4.0,4.0,4,34.0,99.0
Curie,biophoenix_10,10,1.7840336134453783,1.9411764705882353,2.911764705882353,61.26984126984128,66.66666666666667,100.0,0.6126984126984126,0.6666666666666666,1.0,0.3434343434343434,9.0,9.0,9,34.0,99.0
Curie,biophoenix_11,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06060606060606061,1.0,1.0,1,6.0,99.0
Curie,biophoenix_11,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06060606060606061,2.0,2.0,2,6.0,99.0
Curie,biophoenix_11,5,0.5892857142857143,0.0,4.125,3.5714285714285716,0.0,25.0,0.03571428571428571,0.0,0.25,0.06060606060606061,4.0,4.0,4,6.0,99.0
Curie,biophoenix_11,10,0.7857142857142857,0.0,1.8333333333333333,7.142857142857143,0.0,16.666666666666668,0.047619047619047616,0.0,0.1111111111111111,0.06060606060606061,9.0,9.0,9,6.0,99.0
Curie,biophoenix_12,1,2.6115384615384616,0.0,7.461538461538462,35.0,0.0,100.0,0.35,0.0,1.0,0.13402061855670103,2.0,2.0,2,39.0,291.0
Curie,biophoenix_12,3,2.0985576923076925,1.3990384615384617,6.528846153846154,28.125,18.75,87.5,0.28125,0.1875,0.875,0.13402061855670103,8.0,8.0,8,39.0,291.0
Curie,biophoenix_12,5,1.732142857142857,1.065934065934066,4.263736263736264,23.214285714285715,14.285714285714285,57.14285714285714,0.23214285714285712,0.14285714285714285,0.5714285714285714,0.13402061855670103,14.0,14.0,14,39.0,291.0
Curie,biophoenix_12,10,1.3893899204244033,1.1578249336870026,3.344827586206897,18.620689655172413,15.517241379310345,44.827586206896555,0.18620689655172412,0.15517241379310345,0.4482758620689655,0.13402061855670103,29.0,29.0,29,39.0,291.0
Curie,biophoenix_13,1,5.413333333333334,9.333333333333334,9.333333333333334,58.0,100.0,100.0,0.58,1.0,1.0,0.10714285714285714,2.0,2.0,2,24.0,224.0
Curie,biophoenix_13,3,4.604444444444445,4.666666666666667,9.333333333333334,49.33333333333333,50.0,100.0,0.49333333333333335,0.5,1.0,0.10714285714285714,6.0,6.0,6,24.0,224.0
Curie,biophoenix_13,5,4.242424242424242,5.090909090909091,8.484848484848484,45.45454545454545,54.54545454545454,90.90909090909089,0.45454545454545453,0.5454545454545454,0.9090909090909091,0.10714285714285714,11.0,11.0,11,24.0,224.0
Curie,biophoenix_13,10,3.427878787878788,4.666666666666667,5.9393939393939394,36.72727272727273,50.0,63.63636363636363,0.36727272727272725,0.5,0.6363636363636364,0.10714285714285714,22.0,22.0,22,24.0,224.0
Curie,biophoenix_14,1,12.589285714285714,17.625,17.625,17.857142857142858,25.0,25.0,0.17857142857142858,0.25,0.25,0.014184397163120569,4.0,4.0,4,6.0,423.0
Curie,biophoenix_14,3,8.392857142857142,11.75,11.75,23.809523809523803,33.33333333333333,33.33333333333333,0.11904761904761904,0.16666666666666666,0.16666666666666666,0.014184397163120569,12.0,12.0,12,6.0,423.0
Curie,biophoenix_14,5,7.193877551020408,6.714285714285714,10.071428571428571,35.714285714285715,33.333333333333336,50.0,0.1020408163265306,0.09523809523809523,0.14285714285714285,0.014184397163120569,21.0,21.0,21,6.0,423.0
Curie,biophoenix_14,10,6.714285714285714,6.714285714285714,10.071428571428571,66.66666666666667,66.66666666666667,100.0,0.09523809523809523,0.09523809523809523,0.14285714285714285,0.014184397163120569,42.0,42.0,42,6.0,423.0
Curie,biophoenix_15,1,13.21875,15.107142857142858,30.214285714285715,21.875,25.0,50.0,0.21875,0.25,0.5,0.016548463356973995,4.0,4.0,4,7.0,423.0
Curie,biophoenix_15,3,11.959821428571429,12.589285714285715,25.17857142857143,33.92857142857143,35.714285714285715,71.42857142857143,0.19791666666666666,0.20833333333333331,0.4166666666666667,0.016548463356973995,12.0,12.0,12,7.0,423.0
Curie,biophoenix_15,5,10.790816326530612,11.510204081632653,17.26530612244898,53.57142857142857,57.14285714285714,85.71428571428572,0.17857142857142855,0.19047619047619047,0.2857142857142857,0.016548463356973995,21.0,21.0,21,7.0,423.0
Curie,biophoenix_15,10,8.8125,9.35204081632653,10.071428571428571,87.5,92.85714285714286,100.0,0.14583333333333331,0.15476190476190477,0.16666666666666666,0.016548463356973995,42.0,42.0,42,7.0,423.0
Curie,biophoenix_16,1,13.296052631578947,11.75,23.5,56.578947368421055,50.0,100.0,0.5657894736842105,0.5,1.0,0.0425531914893617,4.0,4.0,4,18.0,423.0
Curie,biophoenix_16,3,10.307017543859649,9.791666666666668,15.666666666666666,43.85964912280702,41.66666666666667,66.66666666666666,0.4385964912280702,0.4166666666666667,0.6666666666666666,0.0425531914893617,12.0,12.0,12,18.0,423.0
Curie,biophoenix_16,5,8.775689223057645,7.833333333333333,12.30952380952381,43.567251461988306,38.88888888888889,61.111111111111114,0.37343358395989973,0.3333333333333333,0.5238095238095238,0.0425531914893617,21.0,21.0,21,18.0,423.0
Curie,biophoenix_16,10,6.302005012531328,6.154761904761905,9.511904761904763,62.57309941520468,61.111111111111114,94.44444444444446,0.2681704260651629,0.2619047619047619,0.40476190476190477,0.0425531914893617,42.0,42.0,42,18.0,423.0
