Source,Screen,Threshold,EF,EF,EF,Normalized_EF,Normalized_EF,Normalized_EF,Hit Rate Selected,Hit Rate Selected,Hit Rate Selected,Hit Rate Random,N Selected,N Selected,N Selected,N Hits,N Compounds
,,,mean,median,max,mean,median,max,mean,median,max,mean,mean,median,max,mean,mean
Lit-PCBA,ALDH1,1,1.161722055460263,1.158806818181818,3.862689393939394,7.518867924528302,7.5,25.0,0.07518867924528302,0.075,0.25,0.06472174552586418,40.0,40.0,40,264.0,4079.0
Lit-PCBA,ALDH1,3,1.0695575457638555,1.013164431197218,2.78620218579235,6.92236313021961,6.557377049180328,18.0327868852459,0.06922363130219611,0.06557377049180328,0.18032786885245902,0.06472174552586418,122.0,122.0,122,264.0,4079.0
Lit-PCBA,ALDH1,5,1.048336558258484,0.9894573816987611,2.2833631885356027,6.785017194906589,6.403940886699508,14.77832512315271,0.0678501719490659,0.06403940886699508,0.1477832512315271,0.06472174552586418,203.0,203.0,203,264.0,4079.0
Lit-PCBA,ALDH1,10,1.0219804788415423,0.9870262824808279,1.8222023676569132,10.197255574614065,9.848484848484846,18.18181818181818,0.06614436048398313,0.06388206388206388,0.11793611793611794,0.06472174552586418,407.0,407.0,407,264.0,4079.0
Lit-PCBA,ESR1-ant,1,1.4166666666666667,0.0,17.0,8.333333333333334,0.0,100.0,0.08333333333333333,0.0,1.0,0.0588235294117647,1.0,1.0,1,11.0,187.0
Lit-PCBA,ESR1-ant,3,1.9833333333333336,3.4000000000000004,3.4000000000000004,11.666666666666666,20.0,20.0,0.11666666666666668,0.2,0.2,0.0588235294117647,5.0,5.0,5,11.0,187.0
Lit-PCBA,ESR1-ant,5,1.5740740740740742,1.8888888888888888,3.7777777777777777,9.25925925925926,11.11111111111111,22.22222222222222,0.0925925925925926,0.1111111111111111,0.2222222222222222,0.0588235294117647,9.0,9.0,9,11.0,187.0
Lit-PCBA,ESR1-ant,10,1.2592592592592593,0.9444444444444444,1.8888888888888888,12.12121212121212,9.09090909090909,18.18181818181818,0.07407407407407407,0.05555555555555555,0.1111111111111111,0.0588235294117647,18.0,18.0,18,11.0,187.0
Lit-PCBA,MAPK1,1,2.4123809523809525,2.4123809523809525,4.824761904761905,2.380952380952381,2.380952380952381,4.761904761904762,0.02,0.02,0.04,0.008290564547966837,25.0,25.0,25,21.0,2533.0
Lit-PCBA,MAPK1,3,1.6813564213564214,1.6082539682539685,4.824761904761905,4.978354978354978,4.761904761904762,14.285714285714283,0.01393939393939394,0.013333333333333334,0.04,0.008290564547966837,75.0,75.0,75,21.0,2533.0
Lit-PCBA,MAPK1,5,1.5664811379097094,0.9572940287226002,3.8291761148904007,7.792207792207791,4.761904761904762,19.047619047619047,0.012987012987012986,0.007936507936507936,0.031746031746031744,0.008290564547966837,126.0,126.0,126,21.0,2533.0
Lit-PCBA,MAPK1,10,1.3869240114299404,1.191887822322605,2.860530773574252,13.852813852813853,11.904761904761905,28.57142857142857,0.011498383039885015,0.009881422924901184,0.023715415019762844,0.008290564547966837,253.0,253.0,253,21.0,2533.0
Lit-PCBA,PKM2,1,0.9006658041715313,0.0,6.993405067684831,0.8985200845665962,0.0,6.976744186046512,0.00576662143826323,0.0,0.04477611940298507,0.006402620607504467,67.0,67.0,67,43.0,6716.0
Lit-PCBA,PKM2,3,0.8653455765569614,0.7770450075205368,3.8852250376026842,2.58985200845666,2.3255813953488373,11.627906976744187,0.005540479421076436,0.004975124378109453,0.024875621890547265,0.006402620607504467,201.0,201.0,201,43.0,6716.0
Lit-PCBA,PKM2,5,0.8476854627496766,0.9324540090246441,2.7973620270739326,4.228329809725159,4.651162790697675,13.953488372093023,0.005427408412483039,0.005970149253731343,0.01791044776119403,0.006402620607504467,335.0,335.0,335,43.0,6716.0
Lit-PCBA,PKM2,10,0.9204840838986335,0.9310643607250545,2.094894811631373,9.196617336152219,9.302325581395348,20.930232558139537,0.005893510364449262,0.005961251862891207,0.013412816691505217,0.006402620607504467,671.0,671.0,671,43.0,6716.0
Lit-PCBA,VDR,1,10.031764705882352,4.1799019607843135,33.43921568627451,10.0,4.166666666666666,33.33333333333333,0.028235294117647056,0.011764705882352941,0.09411764705882353,0.0028145889527383607,85.0,85.0,85,24.0,8527.0
Lit-PCBA,VDR,3,4.960150326797385,2.7866013071895424,11.14640522875817,14.833333333333332,8.333333333333332,33.33333333333333,0.013960784313725489,0.00784313725490196,0.03137254901960784,0.0028145889527383607,255.0,255.0,255,24.0,8527.0
Lit-PCBA,VDR,5,3.369432707355242,2.5020539906103285,7.506161971830985,16.833333333333332,12.5,37.5,0.009483568075117372,0.007042253521126761,0.02112676056338028,0.0028145889527383607,426.0,426.0,426,24.0,8527.0
Lit-PCBA,VDR,10,2.101725352112676,1.668035993740219,4.587098982785602,21.0,16.666666666666664,45.83333333333333,0.005915492957746479,0.004694835680751174,0.012910798122065728,0.0028145889527383607,852.0,852.0,852,24.0,8527.0
