Label,Number of Queries,mAP (Embeddings_Raw),mAP (Embeddings_Raw__Int),mAP (Embeddings_Raw__Res11),mAP (Embeddings_Raw__ZCA_N_C),mAP (Embeddings_Raw__ZCA_C),mAP (Embeddings_Raw__ZCA-cor_N_C),mAP (Embeddings_Raw__ZCA-cor_C),mAP (Embeddings_Raw__rZMi_C),mAP (Embeddings_Raw__rZMs_C),mAP (Embeddings_Raw__Int__ZCA_N_C),mAP (Embeddings_Raw__Int__ZCA_C),mAP (Embeddings_Raw__Int__ZCA-cor_N_C),mAP (Embeddings_Raw__Int__ZCA-cor_C),mAP (Embeddings_Raw__Int__rZMi_C),mAP (Embeddings_Raw__Int__rZMs_C),mAP (Embeddings_Raw__Res11__ZCA_C),mAP (Embeddings_Raw__Res11__ZCA-cor_C),mAP (Embeddings_Raw__Res11__rZMi_C),mAP (Embeddings_Raw__Res11__rZMs_C),mAP (Embeddings_Raw__ZCA_N_C__Int),mAP (Embeddings_Raw__ZCA_C__Int),mAP (Embeddings_Raw__ZCA-cor_N_C__Int),mAP (Embeddings_Raw__ZCA-cor_C__Int),mAP (Embeddings_Raw__ZCA_C__Res11),mAP (Embeddings_Raw__ZCA-cor_C__Res11),mAP (Embeddings_Raw__ZCA_N_C__rZMi_C),mAP (Embeddings_Raw__ZCA_N_C__rZMs_C),mAP (Embeddings_Raw__ZCA_C__rZMi_C),mAP (Embeddings_Raw__ZCA_C__rZMs_C),mAP (Embeddings_Raw__ZCA-cor_N_C__rZMi_C),mAP (Embeddings_Raw__ZCA-cor_N_C__rZMs_C),mAP (Embeddings_Raw__ZCA-cor_C__rZMi_C),mAP (Embeddings_Raw__ZCA-cor_C__rZMs_C),mAP (Embeddings_Raw__rZMi_C__Int),mAP (Embeddings_Raw__rZMs_C__Int),mAP (Embeddings_Raw__rZMi_C__Res11),mAP (Embeddings_Raw__rZMs_C__Res11),mAP (Embeddings_Raw__rZMi_C__ZCA_N_C),mAP (Embeddings_Raw__rZMi_C__ZCA_C),mAP (Embeddings_Raw__rZMi_C__ZCA-cor_N_C),mAP (Embeddings_Raw__rZMi_C__ZCA-cor_C),mAP (Embeddings_Raw__rZMs_C__ZCA_N_C),mAP (Embeddings_Raw__rZMs_C__ZCA_C),mAP (Embeddings_Raw__rZMs_C__ZCA-cor_N_C),mAP (Embeddings_Raw__rZMs_C__ZCA-cor_C),mAP (Embeddings_Raw__Int__ZCA_N_C__rZMi_C),mAP (Embeddings_Raw__Int__ZCA_N_C__rZMs_C),mAP (Embeddings_Raw__Int__ZCA_C__rZMi_C),mAP (Embeddings_Raw__Int__ZCA_C__rZMs_C),mAP (Embeddings_Raw__Int__ZCA-cor_N_C__rZMi_C),mAP (Embeddings_Raw__Int__ZCA-cor_N_C__rZMs_C),mAP (Embeddings_Raw__Int__ZCA-cor_C__rZMi_C),mAP (Embeddings_Raw__Int__ZCA-cor_C__rZMs_C),mAP (Embeddings_Raw__Int__rZMi_C__ZCA_N_C),mAP (Embeddings_Raw__Int__rZMi_C__ZCA_C),mAP (Embeddings_Raw__Int__rZMi_C__ZCA-cor_N_C),mAP (Embeddings_Raw__Int__rZMi_C__ZCA-cor_C),mAP (Embeddings_Raw__Int__rZMs_C__ZCA_N_C),mAP (Embeddings_Raw__Int__rZMs_C__ZCA_C),mAP (Embeddings_Raw__Int__rZMs_C__ZCA-cor_N_C),mAP (Embeddings_Raw__Int__rZMs_C__ZCA-cor_C),mAP (Embeddings_Raw__Res11__ZCA_C__rZMi_C),mAP (Embeddings_Raw__Res11__ZCA_C__rZMs_C),mAP (Embeddings_Raw__Res11__ZCA-cor_C__rZMi_C),mAP (Embeddings_Raw__Res11__ZCA-cor_C__rZMs_C),mAP (Embeddings_Raw__Res11__rZMi_C__ZCA_C),mAP (Embeddings_Raw__Res11__rZMi_C__ZCA-cor_C),mAP (Embeddings_Raw__Res11__rZMs_C__ZCA_C),mAP (Embeddings_Raw__Res11__rZMs_C__ZCA-cor_C),mAP (Embeddings_Raw__ZCA_N_C__Int__rZMi_C),mAP (Embeddings_Raw__ZCA_N_C__Int__rZMs_C),mAP (Embeddings_Raw__ZCA_C__Int__rZMi_C),mAP (Embeddings_Raw__ZCA_C__Int__rZMs_C),mAP (Embeddings_Raw__ZCA-cor_N_C__Int__rZMi_C),mAP (Embeddings_Raw__ZCA-cor_N_C__Int__rZMs_C),mAP (Embeddings_Raw__ZCA-cor_C__Int__rZMi_C),mAP (Embeddings_Raw__ZCA-cor_C__Int__rZMs_C),mAP (Embeddings_Raw__ZCA_C__Res11__rZMi_C),mAP (Embeddings_Raw__ZCA_C__Res11__rZMs_C),mAP (Embeddings_Raw__ZCA-cor_C__Res11__rZMi_C),mAP (Embeddings_Raw__ZCA-cor_C__Res11__rZMs_C),mAP (Embeddings_Raw__ZCA_N_C__rZMi_C__Int),mAP (Embeddings_Raw__ZCA_N_C__rZMs_C__Int),mAP (Embeddings_Raw__ZCA_C__rZMi_C__Int),mAP (Embeddings_Raw__ZCA_C__rZMs_C__Int),mAP (Embeddings_Raw__ZCA-cor_N_C__rZMi_C__Int),mAP (Embeddings_Raw__ZCA-cor_N_C__rZMs_C__Int),mAP (Embeddings_Raw__ZCA-cor_C__rZMi_C__Int),mAP (Embeddings_Raw__ZCA-cor_C__rZMs_C__Int),mAP (Embeddings_Raw__ZCA_C__rZMi_C__Res11),mAP (Embeddings_Raw__ZCA_C__rZMs_C__Res11),mAP (Embeddings_Raw__ZCA-cor_C__rZMi_C__Res11),mAP (Embeddings_Raw__ZCA-cor_C__rZMs_C__Res11),mAP (Embeddings_Raw__rZMi_C__Int__ZCA_N_C),mAP (Embeddings_Raw__rZMi_C__Int__ZCA_C),mAP (Embeddings_Raw__rZMi_C__Int__ZCA-cor_N_C),mAP (Embeddings_Raw__rZMi_C__Int__ZCA-cor_C),mAP (Embeddings_Raw__rZMs_C__Int__ZCA_N_C),mAP (Embeddings_Raw__rZMs_C__Int__ZCA_C),mAP (Embeddings_Raw__rZMs_C__Int__ZCA-cor_N_C),mAP (Embeddings_Raw__rZMs_C__Int__ZCA-cor_C),mAP (Embeddings_Raw__rZMi_C__Res11__ZCA_C),mAP (Embeddings_Raw__rZMi_C__Res11__ZCA-cor_C),mAP (Embeddings_Raw__rZMs_C__Res11__ZCA_C),mAP (Embeddings_Raw__rZMs_C__Res11__ZCA-cor_C),mAP (Embeddings_Raw__rZMi_C__ZCA_N_C__Int),mAP (Embeddings_Raw__rZMi_C__ZCA_C__Int),mAP (Embeddings_Raw__rZMi_C__ZCA-cor_N_C__Int),mAP (Embeddings_Raw__rZMi_C__ZCA-cor_C__Int),mAP (Embeddings_Raw__rZMs_C__ZCA_N_C__Int),mAP (Embeddings_Raw__rZMs_C__ZCA_C__Int),mAP (Embeddings_Raw__rZMs_C__ZCA-cor_N_C__Int),mAP (Embeddings_Raw__rZMs_C__ZCA-cor_C__Int),mAP (Embeddings_Raw__rZMi_C__ZCA_C__Res11),mAP (Embeddings_Raw__rZMi_C__ZCA-cor_C__Res11),mAP (Embeddings_Raw__rZMs_C__ZCA_C__Res11),mAP (Embeddings_Raw__rZMs_C__ZCA-cor_C__Res11)
JCP2022_012818,2617.0,0.24020853006079157,0.28837914912392393,0.2798741469917819,0.2608338281721506,0.2608338281721506,0.25960825062531906,0.25960825062531906,0.27339633944876,0.2744179397463219,0.26763659513359705,0.26763659513359705,0.2671679638155229,0.2671679638155229,0.275872079098107,0.27692642175146825,0.2680647581110123,0.25960825062531906,0.27339633944876,0.2744179397463219,0.2772633394296723,0.27236505509308423,0.2779025822737603,0.273106063522325,0.26501170184402423,0.2657883276886899,0.2591437032394652,0.25957320230704806,0.2591383542302868,0.2595680310209678,0.25964442829309364,0.2601657969357746,0.2596398470929054,0.2601606140561854,0.28837914912392393,0.28837914912392393,0.2798741469917819,0.2798741469917819,0.25962242770097554,0.25962242770097554,0.25960825062531906,0.25960825062531906,0.25960825062531906,0.25960825062531906,0.25960825062531906,0.25960825062531906,0.26564669343366776,0.26654879161826095,0.26564211338895677,0.26654453746177953,0.2649417374951485,0.265914260411882,0.2649369433691434,0.26590988820394224,0.26727384142440525,0.26727384142440525,0.2671679638155229,0.2671679638155229,0.2671679638155229,0.2671679638155229,0.2671679638155229,0.2671679638155229,0.26710476314918613,0.2675489288263854,0.2596398470929054,0.2601606140561854,0.25962242770097554,0.25960825062531906,0.25960825062531906,0.25960825062531906,0.2589068953180798,0.25998505243507153,0.2616101291936963,0.2623952920000238,0.2594177230349316,0.2606328712932856,0.2620465822057144,0.2628506540950175,0.2591383542302868,0.2595680310209678,0.2596398470929054,0.2601606140561854,0.2772633394296723,0.2772633394296723,0.27236505509308423,0.27236505509308423,0.2779025822737603,0.2779025822737603,0.273106063522325,0.273106063522325,0.26501170184402423,0.26501170184402423,0.2657883276886899,0.2657883276886899,0.26763659513359705,0.26763659513359705,0.2671679638155229,0.2671679638155229,0.26763659513359705,0.26763659513359705,0.2671679638155229,0.2671679638155229,0.2680647581110123,0.25960825062531906,0.2680647581110123,0.25960825062531906,0.27787332387348146,0.2731482590858327,0.2779025822737603,0.273106063522325,0.2779025822737603,0.273106063522325,0.2779025822737603,0.273106063522325,0.26571326497317516,0.2657883276886899,0.2657883276886899,0.2657883276886899
JCP2022_025848,2619.0,0.2304307140755168,0.25351330834992414,0.2875413001105146,0.20253857233718825,0.20253857233718825,0.20210146611140303,0.20210146611140303,0.21551293112611886,0.21577033803428036,0.20763731816178374,0.20763731816178374,0.2074948632277986,0.2074948632277986,0.2158959405958238,0.21639443513417267,0.20151533421341095,0.20210146611140303,0.21551293112611886,0.21577033803428036,0.2394678142169337,0.25536117421039944,0.23809766097677854,0.25376034674883463,0.27356135175912505,0.27268740417267817,0.20315446789513045,0.204163829522266,0.20316126259178033,0.20417059897640646,0.20264755900852752,0.20356930688271907,0.2026525958118042,0.20357586463899463,0.25351330834992414,0.25351330834992414,0.2875413001105146,0.2875413001105146,0.20135271031013138,0.20135271031013138,0.20210146611140303,0.20210146611140303,0.20210146611140303,0.20210146611140303,0.20210146611140303,0.20210146611140303,0.21045117130179744,0.21130158667473797,0.21045580191702173,0.21130592459699307,0.2076969826421365,0.2086254873983153,0.20770115094755237,0.20863005194075565,0.20745335162809486,0.20745335162809486,0.2074948632277986,0.2074948632277986,0.2074948632277986,0.2074948632277986,0.2074948632277986,0.2074948632277986,0.2042563144967587,0.20504720207802152,0.2026525958118042,0.20357586463899463,0.20135271031013138,0.20210146611140303,0.20210146611140303,0.20210146611140303,0.20331494821584242,0.20354771610905978,0.21676586817562843,0.2179711707770536,0.20292239120148622,0.20308026928747053,0.21562308568825633,0.21693774634689164,0.20316126259178033,0.20417059897640646,0.2026525958118042,0.20357586463899463,0.2394678142169337,0.2394678142169337,0.25536117421039944,0.25536117421039944,0.23809766097677854,0.23809766097677854,0.25376034674883463,0.25376034674883463,0.27356135175912505,0.27356135175912505,0.27268740417267817,0.27268740417267817,0.20763731816178374,0.20763731816178374,0.2074948632277986,0.2074948632277986,0.20763731816178374,0.20763731816178374,0.2074948632277986,0.2074948632277986,0.20151533421341095,0.20210146611140303,0.20151533421341095,0.20210146611140303,0.23778554284541814,0.2533285079903066,0.23809766097677854,0.25376034674883463,0.23809766097677854,0.25376034674883463,0.23809766097677854,0.25376034674883463,0.2726139317582684,0.27268740417267817,0.27268740417267817,0.27268740417267817
JCP2022_035095,1803.0,0.4090789914959802,0.7006977115558074,0.6751576556895361,0.7261335978083217,0.7261335978083217,0.7235314017432536,0.7235314017432536,0.6879493853820435,0.6901811742220901,0.7241328091237674,0.7241328091237674,0.7232391515596371,0.7232391515596371,0.6826172632726367,0.6862562257585971,0.7282739622899784,0.7235314017432536,0.6879493853820435,0.6901811742220901,0.7418089551324939,0.7297711071962825,0.7450623243111052,0.7332266993243906,0.6098750464639568,0.6162093469640515,0.719891267665922,0.7223570619308578,0.7198753835040711,0.7223579413488754,0.723824860193191,0.7261047094965977,0.7238047775017449,0.7261055969275385,0.7006977115558074,0.7006977115558074,0.6751576556895361,0.6751576556895361,0.7210423724160218,0.7210423724160218,0.7235314017432536,0.7235314017432536,0.7235314017432536,0.7235314017432536,0.7235314017432536,0.7235314017432536,0.7239509782845284,0.7283205361152992,0.7239381916517285,0.7283138841639775,0.719578259337655,0.7242670620441043,0.7195743012399957,0.7242595975698818,0.7228592731087189,0.7228592731087189,0.7232391515596371,0.7232391515596371,0.7232391515596371,0.7232391515596371,0.7232391515596371,0.7232391515596371,0.7278664634270551,0.7299698203299495,0.7238047775017449,0.7261055969275385,0.7210423724160218,0.7235314017432536,0.7235314017432536,0.7235314017432536,0.7165660204804079,0.7186756993012348,0.7179026528437347,0.7205877991245193,0.7205936372476803,0.7228347837303779,0.721631467590881,0.7241070344870775,0.7198753835040711,0.7223579413488754,0.7238047775017449,0.7261055969275385,0.7418089551324939,0.7418089551324939,0.7297711071962825,0.7297711071962825,0.7450623243111052,0.7450623243111052,0.7332266993243906,0.7332266993243906,0.6098750464639568,0.6098750464639568,0.6162093469640515,0.6162093469640515,0.7241328091237674,0.7241328091237674,0.7232391515596371,0.7232391515596371,0.7241328091237674,0.7241328091237674,0.7232391515596371,0.7232391515596371,0.7282739622899784,0.7235314017432536,0.7282739622899784,0.7235314017432536,0.7438475114244754,0.732065110231571,0.7450623243111052,0.7332266993243906,0.7450623243111052,0.7332266993243906,0.7450623243111052,0.7332266993243906,0.6146808389491962,0.6162093469640515,0.6162093469640515,0.6162093469640515
JCP2022_037716,2622.0,0.46765964004495797,0.7272663377673446,0.7369527509921955,0.762620771785729,0.762620771785729,0.7575602600710939,0.7575602600710939,0.6676872972434209,0.6703833197970677,0.76892213431151,0.76892213431151,0.7671314265582043,0.7671314265582043,0.6678629282737492,0.6705005396408454,0.766159793568693,0.7575602600710939,0.6676872972434209,0.6703833197970677,0.8218184488341047,0.8151862844263608,0.8204738334522025,0.8131401909390635,0.8031681408716439,0.8016590484519198,0.7601253261164078,0.760350624995534,0.7601085637293007,0.7603351091289431,0.7580424951578619,0.7581155272839429,0.7580283571560268,0.7580998066654233,0.7272663377673446,0.7272663377673446,0.7369527509921955,0.7369527509921955,0.7572353128147874,0.7572353128147874,0.7575602600710939,0.7575602600710939,0.7575602600710939,0.7575602600710939,0.7575602600710939,0.7575602600710939,0.7611463747120323,0.7636173278490056,0.7611399397442066,0.7636040075957755,0.7639262748291733,0.7665755831476404,0.7639209697874696,0.7665622956362947,0.7667507141603883,0.7667507141603883,0.7671314265582043,0.7671314265582043,0.7671314265582043,0.7671314265582043,0.7671314265582043,0.7671314265582043,0.7483464745938537,0.7483094143755522,0.7580283571560268,0.7580998066654233,0.7572353128147874,0.7575602600710939,0.7575602600710939,0.7575602600710939,0.7598091470086193,0.7637816518733659,0.7758710733479564,0.7780088308421081,0.7578569832858368,0.7622183676621351,0.7732024591426065,0.7752512366436956,0.7601085637293007,0.7603351091289431,0.7580283571560268,0.7580998066654233,0.8218184488341047,0.8218184488341047,0.8151862844263608,0.8151862844263608,0.8204738334522025,0.8204738334522025,0.8131401909390635,0.8131401909390635,0.8031681408716439,0.8031681408716439,0.8016590484519198,0.8016590484519198,0.76892213431151,0.76892213431151,0.7671314265582043,0.7671314265582043,0.76892213431151,0.76892213431151,0.7671314265582043,0.7671314265582043,0.766159793568693,0.7575602600710939,0.766159793568693,0.7575602600710939,0.8196712439235335,0.8123736798088248,0.8204738334522025,0.8131401909390635,0.8204738334522025,0.8131401909390635,0.8204738334522025,0.8131401909390635,0.8008270885614693,0.8016590484519198,0.8016590484519198,0.8016590484519198
JCP2022_046054,2618.0,0.4258468859891875,0.6995655296785542,0.6966606277271767,0.7173067006872539,0.7173067006872539,0.7140188586780737,0.7140188586780737,0.6434795708299571,0.6452597003231322,0.7256590876814752,0.7256590876814752,0.726274873192313,0.726274873192313,0.647913179389216,0.6509316820504656,0.7221871446428053,0.7140188586780737,0.6434795708299571,0.6452597003231322,0.7737883884590644,0.7665945799287104,0.7702203275474873,0.7619451380860723,0.6995757131001032,0.6945277839560754,0.7153542133106053,0.7156639128398602,0.7153421400931723,0.7156575869232153,0.7119090199966049,0.7123433971422937,0.7119021958955817,0.7123373587632436,0.6995655296785542,0.6995655296785542,0.6966606277271767,0.6966606277271767,0.7129609605419686,0.7129609605419686,0.7140188586780737,0.7140188586780737,0.7140188586780737,0.7140188586780737,0.7140188586780737,0.7140188586780737,0.7189546756136103,0.7225631124424163,0.7189516781077312,0.722558382644846,0.7200706968503832,0.723853905968464,0.7200730582366068,0.7238487273286061,0.725422918323207,0.725422918323207,0.726274873192313,0.726274873192313,0.726274873192313,0.726274873192313,0.726274873192313,0.726274873192313,0.7038511660493184,0.7043613993803153,0.7119021958955817,0.7123373587632436,0.7129609605419686,0.7140188586780737,0.7140188586780737,0.7140188586780737,0.7124887004259824,0.716441530924994,0.7295097126969331,0.7329847569232033,0.7094205690440017,0.7136672863801018,0.7250507406953441,0.7283906639554247,0.7153421400931723,0.7156575869232153,0.7119021958955817,0.7123373587632436,0.7737883884590644,0.7737883884590644,0.7665945799287104,0.7665945799287104,0.7702203275474873,0.7702203275474873,0.7619451380860723,0.7619451380860723,0.6995757131001032,0.6995757131001032,0.6945277839560754,0.6945277839560754,0.7256590876814752,0.7256590876814752,0.726274873192313,0.726274873192313,0.7256590876814752,0.7256590876814752,0.726274873192313,0.726274873192313,0.7221871446428053,0.7140188586780737,0.7221871446428053,0.7140188586780737,0.7688772529480702,0.7605044541269127,0.7702203275474873,0.7619451380860723,0.7702203275474873,0.7619451380860723,0.7702203275474873,0.7619451380860723,0.6933325118705712,0.6945277839560754,0.6945277839560754,0.6945277839560754
JCP2022_050797,2616.0,0.20628023556837718,0.17512782585981163,0.23045811521119083,0.13569302051705465,0.13569302051705465,0.13589455085238428,0.13589455085238428,0.14201936664495005,0.1420845321663563,0.13795896739789568,0.13795896739789568,0.1380955066709967,0.1380955066709967,0.14232924592602916,0.14232467577058264,0.135877980630483,0.13589455085238428,0.14201936664495005,0.1420845321663563,0.16101744596769657,0.17803470150131254,0.16048016166481208,0.17724526449549988,0.24239863698411027,0.2418638662472037,0.1357700310137142,0.1358833254371306,0.13577450658800083,0.13588785753262622,0.13559995351472148,0.13569225556085454,0.13560532043387952,0.1356965028730126,0.17512782585981163,0.17512782585981163,0.23045811521119083,0.23045811521119083,0.13578895709699648,0.13578895709699648,0.13589455085238428,0.13589455085238428,0.13589455085238428,0.13589455085238428,0.13589455085238428,0.13589455085238428,0.13831860311345584,0.13835586041203832,0.1383218390290279,0.13835909181782646,0.1377122328754125,0.13778399284190795,0.13771533713192718,0.1377872835483933,0.13804518611425384,0.13804518611425384,0.1380955066709967,0.1380955066709967,0.1380955066709967,0.1380955066709967,0.1380955066709967,0.1380955066709967,0.1359398553499992,0.1360332378808451,0.13560532043387952,0.1356965028730126,0.13578895709699648,0.13589455085238428,0.13589455085238428,0.13589455085238428,0.1358389998280617,0.1358262952932975,0.14563047407803714,0.14590123088412116,0.1357516793836393,0.135724092768111,0.14522125528893495,0.14546632498201098,0.13577450658800083,0.13588785753262622,0.13560532043387952,0.1356965028730126,0.16101744596769657,0.16101744596769657,0.17803470150131254,0.17803470150131254,0.16048016166481208,0.16048016166481208,0.17724526449549988,0.17724526449549988,0.24239863698411027,0.24239863698411027,0.2418638662472037,0.2418638662472037,0.13795896739789568,0.13795896739789568,0.1380955066709967,0.1380955066709967,0.13795896739789568,0.13795896739789568,0.1380955066709967,0.1380955066709967,0.135877980630483,0.13589455085238428,0.135877980630483,0.13589455085238428,0.16034584795853093,0.17706521242046758,0.16048016166481208,0.17724526449549988,0.16048016166481208,0.17724526449549988,0.16048016166481208,0.17724526449549988,0.24155018863903363,0.2418638662472037,0.2418638662472037,0.2418638662472037
JCP2022_064022,2620.0,0.33583951857982747,0.5225195500558194,0.5101187007459593,0.49562209226995535,0.49562209226995535,0.49098669936137385,0.49098669936137385,0.46587397556913684,0.46758732141898846,0.5060392474646775,0.5060392474646775,0.5055967541192342,0.5055967541192342,0.47783582063907265,0.4791431609986923,0.4986981750016282,0.49098669936137385,0.46587397556913684,0.46758732141898846,0.5641467251864232,0.5570864414588134,0.5691692479186398,0.5616999670514908,0.5119657212303861,0.5151558941413142,0.4900450096510113,0.4910108720329666,0.4900504954296926,0.4910150453189205,0.49548382183132444,0.4964141784483795,0.49548560101870703,0.49641829980085483,0.5225195500558194,0.5225195500558194,0.5101187007459593,0.5101187007459593,0.4903560800416336,0.4903560800416336,0.49098669936137385,0.49098669936137385,0.49098669936137385,0.49098669936137385,0.49098669936137385,0.49098669936137385,0.5043420574691373,0.5079834187863423,0.5043411458960494,0.5079847051943631,0.5044997900235336,0.5084475462811704,0.5045001617348254,0.5084488503387308,0.5048597824438444,0.5048597824438444,0.5055967541192342,0.5055967541192342,0.5055967541192342,0.5055967541192342,0.5055967541192342,0.5055967541192342,0.4868649927235316,0.48751667785127695,0.49548560101870703,0.49641829980085483,0.4903560800416336,0.49098669936137385,0.49098669936137385,0.49098669936137385,0.48847194260971416,0.4919953786389017,0.5084166345543173,0.5118008553787684,0.4939393778960475,0.4977631411375727,0.5134107795341653,0.5166973076352128,0.4900504954296926,0.4910150453189205,0.49548560101870703,0.49641829980085483,0.5641467251864232,0.5641467251864232,0.5570864414588134,0.5570864414588134,0.5691692479186398,0.5691692479186398,0.5616999670514908,0.5616999670514908,0.5119657212303861,0.5119657212303861,0.5151558941413142,0.5151558941413142,0.5060392474646775,0.5060392474646775,0.5055967541192342,0.5055967541192342,0.5060392474646775,0.5060392474646775,0.5055967541192342,0.5055967541192342,0.4986981750016282,0.49098669936137385,0.4986981750016282,0.49098669936137385,0.568267834304339,0.5606608063022643,0.5691692479186398,0.5616999670514908,0.5691692479186398,0.5616999670514908,0.5691692479186398,0.5616999670514908,0.5139642841217978,0.5151558941413142,0.5151558941413142,0.5151558941709454
JCP2022_085227,2501.0,0.203386969660112,0.18228243931816487,0.23914351514865823,0.13109265651208438,0.13109265651208438,0.13118104781502749,0.13118104781502749,0.14296702749773965,0.1428888537296033,0.13306862157701052,0.13306862157701052,0.13318531900572622,0.13318531900572622,0.14301303718682493,0.14301871632350704,0.13117739998664357,0.13118104781502749,0.14296702749773965,0.1428888537296033,0.15784318652153462,0.175462871411183,0.15680911404529987,0.17418363001681406,0.2359192112493272,0.23463497250810267,0.13124450413614855,0.1313658082862582,0.13124888031635804,0.13137071446529708,0.13085515531348785,0.13094630089874015,0.13086101297215463,0.13095171619995427,0.18228243931816487,0.18228243931816487,0.23914351514865823,0.23914351514865823,0.1311235173525344,0.1311235173525344,0.13118104781502749,0.13118104781502749,0.13118104781502749,0.13118104781502749,0.13118104781502749,0.13118104781502749,0.13355175471080183,0.13366944750857324,0.1335552274763224,0.13367345383873852,0.1328301156656139,0.13295106212148122,0.13283227879290724,0.13295490193600298,0.13311845001182937,0.13311845001182937,0.13318531900572622,0.13318531900572622,0.13318531900572622,0.13318531900572622,0.13318531900572622,0.13318531900572622,0.13163201324699128,0.13175274440503684,0.13086101297215463,0.13095171619995427,0.1311235173525344,0.13118104781502749,0.13118104781502749,0.13118104781502749,0.13132516152641738,0.1312729100877241,0.14133270811262671,0.14158055585664725,0.13097294690310188,0.1309129685787361,0.14067661158529096,0.1408891726101061,0.13124888031635804,0.13137071446529708,0.13086101297215463,0.13095171619995427,0.15784318652153462,0.15784318652153462,0.175462871411183,0.175462871411183,0.15680911404529987,0.15680911404529987,0.17418363001681406,0.17418363001681406,0.2359192112493272,0.2359192112493272,0.23463497250810267,0.23463497250810267,0.13306862157701052,0.13306862157701052,0.13318531900572622,0.13318531900572622,0.13306862157701052,0.13306862157701052,0.13318531900572622,0.13318531900572622,0.13117739998664357,0.13118104781502749,0.13117739998664357,0.13118104781502749,0.1565929308629473,0.17389405730873825,0.15680911404529987,0.17418363001681406,0.15680911404529987,0.17418363001681406,0.15680911404529987,0.17418363001681406,0.23413179773257228,0.23463497250810267,0.23463497250810267,0.23463497250810267
Mean mAP,2502.0,0.31484143568434386,0.44366898146366873,0.4569883515771267,0.4289801550112172,0.4289801550112172,0.42686031690724113,0.42686031690724113,0.40486073671776585,0.40607164742973,0.43388184760646464,0.43388184760646464,0.43352323226867917,0.43352323226867917,0.40666743679768247,0.4081869821785413,0.43149431855558185,0.42686031690724113,0.40486073671776585,0.40607164742973,0.46714428796849045,0.4687327769032683,0.46727690652376064,0.4685384125230614,0.45518444043783457,0.4553158305162544,0.4268410653785506,0.42754607966899016,0.4268374483103329,0.4275453605894065,0.4272509116636016,0.42791893408116277,0.4272474634853505,0.42791821999065094,0.44366898146366873,0.44366898146366873,0.4569883515771267,0.4569883515771267,0.4261852922843812,0.4261852922843812,0.42686031690724113,0.42686031690724113,0.42686031690724113,0.42686031690724113,0.42686031690724113,0.42686031690724113,0.4320452885798789,0.43404501017583424,0.43204324215138057,0.4340429984142875,0.43140701121488206,0.4335523625268707,0.43140677515505343,0.4335501995628259,0.4332229396518428,0.4332229396518428,0.43352323226867917,0.43352323226867917,0.43352323226867917,0.43352323226867917,0.43352323226867917,0.43352323226867917,0.42573275537958677,0.4263174281409229,0.4272474634853505,0.42791821999065094,0.4261852922843812,0.42686031690724113,0.42686031690724113,0.42686031690724113,0.42584022692664064,0.42769077933295613,0.4371299066253662,0.4389038114733056,0.42635941349959067,0.42835422260472383,0.43710787271639917,0.4388237675944296,0.4268374483103329,0.4275453605894065,0.4272474634853505,0.42791821999065094,0.46714428796849045,0.46714428796849045,0.4687327769032683,0.4687327769032683,0.46727690652376064,0.46727690652376064,0.4685384125230614,0.4685384125230614,0.45518444043783457,0.45518444043783457,0.4553158305162544,0.4553158305162544,0.43388184760646464,0.43388184760646464,0.43352323226867917,0.43352323226867917,0.43388184760646464,0.43388184760646464,0.43352323226867917,0.43352323226867917,0.43149431855558185,0.42686031690724113,0.43149431855558185,0.42686031690724113,0.46665768601759944,0.4678800109093647,0.46727690652376064,0.4685384125230614,0.46727690652376064,0.4685384125230614,0.46727690652376064,0.4685384125230614,0.4546017383257605,0.4553158305162544,0.4553158305162544,0.45531583051995833
