Label,Number of Queries,mAP (Embeddings_Raw),mAP (Embeddings_Raw__Int),mAP (Embeddings_Raw__Res11),mAP (Embeddings_Raw__Res01),mAP (Embeddings_Raw__ZCA_N_C),mAP (Embeddings_Raw__ZCA_C),mAP (Embeddings_Raw__rZMs_C),mAP (Embeddings_Raw__Int__ZCA_N_C),mAP (Embeddings_Raw__Int__ZCA_C),mAP (Embeddings_Raw__Int__rZMs_C),mAP (Embeddings_Raw__Res11__ZCA_C),mAP (Embeddings_Raw__Res01__ZCA_C),mAP (Embeddings_Raw__Res11__rZMs_C),mAP (Embeddings_Raw__Res01__rZMs_C),mAP (Embeddings_Raw__ZCA_N_C__Int),mAP (Embeddings_Raw__ZCA_C__Int),mAP (Embeddings_Raw__ZCA_C__Res11),mAP (Embeddings_Raw__ZCA_C__Res01),mAP (Embeddings_Raw__ZCA_N_C__rZMs_C),mAP (Embeddings_Raw__ZCA_C__rZMs_C),mAP (Embeddings_Raw__rZMs_C__Int),mAP (Embeddings_Raw__rZMs_C__Res11),mAP (Embeddings_Raw__rZMs_C__Res01),mAP (Embeddings_Raw__rZMs_C__ZCA_N_C),mAP (Embeddings_Raw__rZMs_C__ZCA_C),mAP (Embeddings_Raw__Int__ZCA_N_C__rZMs_C),mAP (Embeddings_Raw__Int__ZCA_C__rZMs_C),mAP (Embeddings_Raw__Int__rZMs_C__ZCA_N_C),mAP (Embeddings_Raw__Int__rZMs_C__ZCA_C),mAP (Embeddings_Raw__Res11__ZCA_C__rZMs_C),mAP (Embeddings_Raw__Res01__ZCA_C__rZMs_C),mAP (Embeddings_Raw__Res11__rZMs_C__ZCA_C),mAP (Embeddings_Raw__Res01__rZMs_C__ZCA_C),mAP (Embeddings_Raw__ZCA_N_C__Int__rZMs_C),mAP (Embeddings_Raw__ZCA_C__Int__rZMs_C),mAP (Embeddings_Raw__ZCA_C__Res11__rZMs_C),mAP (Embeddings_Raw__ZCA_C__Res01__rZMs_C),mAP (Embeddings_Raw__ZCA_N_C__rZMs_C__Int),mAP (Embeddings_Raw__ZCA_C__rZMs_C__Int),mAP (Embeddings_Raw__ZCA_C__rZMs_C__Res11),mAP (Embeddings_Raw__ZCA_C__rZMs_C__Res01),mAP (Embeddings_Raw__rZMs_C__Int__ZCA_N_C),mAP (Embeddings_Raw__rZMs_C__Int__ZCA_C),mAP (Embeddings_Raw__rZMs_C__Res11__ZCA_C),mAP (Embeddings_Raw__rZMs_C__Res01__ZCA_C),mAP (Embeddings_Raw__rZMs_C__ZCA_N_C__Int),mAP (Embeddings_Raw__rZMs_C__ZCA_C__Int),mAP (Embeddings_Raw__rZMs_C__ZCA_C__Res11),mAP (Embeddings_Raw__rZMs_C__ZCA_C__Res01)
1053597950,64.0,0.07032404291222283,0.004683694529468329,0.041232241202860856,0.03919613909759345,0.01773972825508007,0.01773972825508007,0.006113612826690708,0.012853634914792958,0.012853634914792958,0.005747040827057137,0.01637325002500772,0.016385772504566853,0.006113612826690708,0.006113612826690708,0.010896085054706768,0.010318085867106355,0.5505785312002341,0.5315669906535397,0.018371784410661316,0.018368086048975475,0.004683694529468329,0.041232241202860856,0.03919613909759345,0.01991926557778528,0.01991926557778528,0.015424128161412061,0.01542924183609326,0.014233055761134842,0.014233055761134842,0.017466806905933267,0.017458591722489782,0.01991926557778528,0.01991926557778528,0.01732966515188406,0.01451361993091779,0.018368086048975475,0.018368086048975475,0.010896085054706768,0.010318085867106355,0.5505785312002341,0.5315669906535397,0.012853634914792958,0.012853634914792958,0.01637325002500772,0.016385772504566853,0.011110654301607499,0.011122439766058253,0.544689497179362,0.5340827563810587
1053597981,64.0,0.08954285702856665,0.005336079729532934,0.07694778573549084,0.06282440109176965,0.018485525135319338,0.018485525135319338,0.006898897312142762,0.0148752579740115,0.0148752579740115,0.0063873106842042456,0.018904124867058045,0.018913152334341255,0.006898897312142762,0.006898897312142762,0.010579831664218347,0.010959264714998848,0.616917360477766,0.5648178996686842,0.019396299553784208,0.019407103155579784,0.005336079729532934,0.07694778573549084,0.06282440109176965,0.019798775546768208,0.019798775546768208,0.015558669539384949,0.015544612465528481,0.01599439201987242,0.01599439201987242,0.019093509411283766,0.01909202954807128,0.019798775546768208,0.019798775546768208,0.019607773548658725,0.014855053838046358,0.019407103155579784,0.019407103155579784,0.010579831664218347,0.010959264714998848,0.616917360477766,0.5648178996686842,0.0148752579740115,0.0148752579740115,0.018904124867058045,0.018913152334341255,0.010345821104140094,0.01088650692578087,0.6135113326146548,0.5672375008111052
1053597998,64.0,0.07475543040325987,0.006198224012014868,0.061653434099210314,0.05521660099069153,0.02204233248791356,0.02204233248791356,0.009731941100672194,0.02130116016489125,0.02130116016489125,0.00920997291800491,0.022976391943720486,0.022998330749816026,0.009731941100672194,0.009731941100672194,0.010974376201507104,0.011342266909664474,0.5760204112150114,0.5383997735571381,0.02287491963172162,0.02287411322717172,0.006198224012014868,0.061653434099210314,0.05521660099069153,0.023487945472086685,0.023487945472086685,0.022051975551137405,0.022052575416443353,0.022472360314212785,0.022472360314212785,0.02213743556727066,0.022136004117016387,0.023487945472086685,0.023487945472086685,0.020892024982747674,0.01728537850579687,0.02287411322717172,0.02287411322717172,0.010974376201507104,0.011342266909664474,0.5760204112150114,0.5383997735571381,0.02130116016489125,0.02130116016489125,0.022976391943720486,0.022998330749816026,0.01143263152599336,0.011585655849425884,0.56510035754115,0.5340294282844904
1053599589,64.0,0.1818079196317564,0.014505295599327863,0.1166800226990869,0.09783679906585754,0.026762210630666153,0.026762210630666153,0.02046911568254227,0.026032671673138583,0.026032671673138583,0.016842810822510376,0.027689357712046916,0.027709386289903434,0.02046911568254227,0.02046911568254227,0.01309703515551624,0.016807258226986924,0.4767062632247389,0.46259356271575297,0.02795429675944685,0.02801106478250653,0.014505295599327863,0.1166800226990869,0.09783679906585754,0.03006832476555668,0.03006832476555668,0.0269720362229747,0.026948643266356136,0.026337356449930897,0.026337356449930897,0.027227715961530213,0.027222561929795656,0.03006832476555668,0.03006832476555668,0.0268086599561667,0.02100061376652455,0.02801106478250653,0.02801106478250653,0.01309703515551624,0.016807258226986924,0.4767062632247389,0.46259356271575297,0.026032671673138583,0.026032671673138583,0.027689357712046916,0.027709386289903434,0.01386404496390195,0.017419704455090418,0.4767617939471778,0.4613018984840434
1053599619,64.0,0.27963798026177145,0.00845296760636538,0.11492063394723044,0.09465821614012382,0.023454133103218956,0.023454133103218956,0.010895018717165543,0.019349468682884133,0.019349468682884133,0.010367844178538156,0.023506146108607184,0.023524652767854762,0.010895018717165543,0.010895018717165543,0.014620875737861935,0.014836019566935634,0.6106439121687057,0.583578650502931,0.023777991819959803,0.023775707125431738,0.00845296760636538,0.11492063394723044,0.09465821614012382,0.02589119743845594,0.02589119743845594,0.021057656245598758,0.021041639183149666,0.019912479956648195,0.019912479956648195,0.022052911637598257,0.022047776763473692,0.02589119743845594,0.02589119743845594,0.023084338269528697,0.019615742752327213,0.023775707125431738,0.023775707125431738,0.014620875737861935,0.014836019566935634,0.6106439121687057,0.583578650502931,0.019349468682884133,0.019349468682884133,0.023506146108607184,0.023524652767854762,0.015496332842805893,0.015005506658922427,0.6165570834181084,0.588630130199552
1053599626,64.0,0.1801772425761612,0.01244551133067795,0.10630205109378159,0.08816523635775705,0.02672570022190754,0.02672570022190754,0.01999340521917326,0.025008965809964284,0.025008965809964284,0.01732717850841574,0.026427336405351647,0.026437662087093344,0.01999340521917326,0.01999340521917326,0.016756160974442783,0.018123419659382793,0.5098583359865296,0.5056434876158679,0.027869367840252356,0.027867383396636348,0.01244551133067795,0.10630205109378159,0.08816523635775705,0.029571238890979585,0.029571238890979585,0.02642576290444348,0.0263721265949298,0.02628033593800706,0.02628033593800706,0.028108515338352725,0.02805851975325146,0.029571238890979585,0.029571238890979585,0.02645643043662787,0.023910571419489594,0.027867383396636348,0.027867383396636348,0.016756160974442783,0.018123419659382793,0.5098583359865296,0.5056434876158679,0.025008965809964284,0.025008965809964284,0.026427336405351647,0.026437662087093344,0.01751176082183417,0.018626610462455864,0.5061142786445599,0.4998005276179657
1053600728,64.0,0.10855661508166435,0.006611005373876888,0.1017262763850612,0.09428699223919175,0.02145282317147176,0.02145282317147176,0.011775761674082846,0.022213432453373927,0.022213432453373927,0.009883960912152318,0.02224169634365442,0.022219752979045524,0.011775761674082846,0.011775761674082846,0.013349547355705113,0.014247764765406746,0.5319359937081714,0.5187039511951863,0.021490502203445047,0.021504742007546297,0.006611005373876888,0.1017262763850612,0.09428699223919175,0.023360408920998648,0.023360408920998648,0.022573914923424084,0.022588146628295305,0.02281512087477716,0.02281512087477716,0.02125758182717599,0.02123941171260237,0.023360408920998648,0.023360408920998648,0.020269669525161512,0.017211055605108903,0.021504742007546297,0.021504742007546297,0.013349547355705113,0.014247764765406746,0.5319359937081714,0.5187039511951863,0.022213432453373927,0.022213432453373927,0.02224169634365442,0.022219752979045524,0.013646398939931236,0.014510976775944772,0.5349235766986721,0.5211420662871639
1053600865,64.0,0.0945773895740426,0.007552461966790611,0.16665832822408072,0.13804997023758503,0.024929353237027427,0.024929353237027427,0.011460133839143852,0.020115262731932655,0.020115262731932655,0.00984905704923554,0.022498441683353125,0.0225006288520219,0.011460133839143852,0.011460133839143852,0.012926108694100769,0.014034721946542577,0.5328178042912245,0.532914450916994,0.02491918844936613,0.024926301400167366,0.007552461966790611,0.16665832822408072,0.13804997023758503,0.026719498411357675,0.026719498411357675,0.021692524079594804,0.02171143801334625,0.021817889233656,0.021817889233656,0.021043436823731936,0.021042852114704934,0.026719498411357675,0.026719498411357675,0.024357020903094433,0.01992335271925129,0.024926301400167366,0.024926301400167366,0.012926108694100769,0.014034721946542577,0.5328178042912245,0.532914450916994,0.020115262731932655,0.020115262731932655,0.022498441683353125,0.0225006288520219,0.012455115227575468,0.013576385422663088,0.5389516044982019,0.5350571690852555
1053600872,64.0,0.06876692094450537,0.00711744354229133,0.09993093562545578,0.08298516306512328,0.02248561617715408,0.02248561617715408,0.012161929901288492,0.01951276664261016,0.01951276664261016,0.010025731154537294,0.022832177766448927,0.022835038713513306,0.012161929901288492,0.012161929901288492,0.011796796919136128,0.013061661977407327,0.5277187789837166,0.5127394849259737,0.022979732437060144,0.02297700754641278,0.00711744354229133,0.09993093562545578,0.08298516306512328,0.02512504907880645,0.02512504907880645,0.020148084788065408,0.02017223189337272,0.020119568411513043,0.020119568411513043,0.02139931001622697,0.02139697005061503,0.02512504907880645,0.02512504907880645,0.022099550431391706,0.018246823045953736,0.02297700754641278,0.02297700754641278,0.011796796919136128,0.013061661977407327,0.5277187789837166,0.5127394849259737,0.01951276664261016,0.01951276664261016,0.022832177766448927,0.022835038713513306,0.0117697058638294,0.012784607612969583,0.524877415436229,0.514289731513652
1053601770,64.0,0.10369976595142273,0.0077463843013258205,0.08173814712992919,0.08210091530064574,0.024040791890064882,0.024040791890064882,0.014837685558968592,0.020279450014423304,0.020279450014423304,0.011222577856736133,0.02462175655460833,0.024611158292050093,0.014837685558968592,0.014837685558968592,0.012877071761223569,0.014786187860343617,0.5683075958502973,0.5577118161533572,0.024837086937338073,0.024830327161542445,0.0077463843013258205,0.08173814712992919,0.08210091530064574,0.02596677149331205,0.02596677149331205,0.01975140278290775,0.01976648908084082,0.020736934552692064,0.020736934552692064,0.024436793850971677,0.02443854951195318,0.02596677149331205,0.02596677149331205,0.024024582964446595,0.020558432680820186,0.024830327161542445,0.024830327161542445,0.012877071761223569,0.014786187860343617,0.5683075958502973,0.5577118161533572,0.020279450014423304,0.020279450014423304,0.02462175655460833,0.024611158292050093,0.013232419169749718,0.014786775073266721,0.5650019113346131,0.5566585965608277
