Label,Number of Queries,mAP (Embeddings_Raw),mAP (Embeddings_Raw__Int),mAP (Embeddings_Raw__Res11),mAP (Embeddings_Raw__Res01),mAP (Embeddings_Raw__ZCA_N_C),mAP (Embeddings_Raw__ZCA_C),mAP (Embeddings_Raw__rZMs_C),mAP (Embeddings_Raw__Int__ZCA_N_C),mAP (Embeddings_Raw__Int__ZCA_C),mAP (Embeddings_Raw__Int__rZMs_C),mAP (Embeddings_Raw__Res11__ZCA_C),mAP (Embeddings_Raw__Res01__ZCA_C),mAP (Embeddings_Raw__Res11__rZMs_C),mAP (Embeddings_Raw__Res01__rZMs_C),mAP (Embeddings_Raw__ZCA_N_C__Int),mAP (Embeddings_Raw__ZCA_C__Int),mAP (Embeddings_Raw__ZCA_C__Res11),mAP (Embeddings_Raw__ZCA_C__Res01),mAP (Embeddings_Raw__ZCA_N_C__rZMs_C),mAP (Embeddings_Raw__ZCA_C__rZMs_C),mAP (Embeddings_Raw__rZMs_C__Int),mAP (Embeddings_Raw__rZMs_C__Res11),mAP (Embeddings_Raw__rZMs_C__Res01),mAP (Embeddings_Raw__rZMs_C__ZCA_N_C),mAP (Embeddings_Raw__rZMs_C__ZCA_C),mAP (Embeddings_Raw__Int__ZCA_N_C__rZMs_C),mAP (Embeddings_Raw__Int__ZCA_C__rZMs_C),mAP (Embeddings_Raw__Int__rZMs_C__ZCA_N_C),mAP (Embeddings_Raw__Int__rZMs_C__ZCA_C),mAP (Embeddings_Raw__Res11__ZCA_C__rZMs_C),mAP (Embeddings_Raw__Res01__ZCA_C__rZMs_C),mAP (Embeddings_Raw__Res11__rZMs_C__ZCA_C),mAP (Embeddings_Raw__Res01__rZMs_C__ZCA_C),mAP (Embeddings_Raw__ZCA_N_C__Int__rZMs_C),mAP (Embeddings_Raw__ZCA_C__Int__rZMs_C),mAP (Embeddings_Raw__ZCA_C__Res11__rZMs_C),mAP (Embeddings_Raw__ZCA_C__Res01__rZMs_C),mAP (Embeddings_Raw__ZCA_N_C__rZMs_C__Int),mAP (Embeddings_Raw__ZCA_C__rZMs_C__Int),mAP (Embeddings_Raw__ZCA_C__rZMs_C__Res11),mAP (Embeddings_Raw__ZCA_C__rZMs_C__Res01),mAP (Embeddings_Raw__rZMs_C__Int__ZCA_N_C),mAP (Embeddings_Raw__rZMs_C__Int__ZCA_C),mAP (Embeddings_Raw__rZMs_C__Res11__ZCA_C),mAP (Embeddings_Raw__rZMs_C__Res01__ZCA_C),mAP (Embeddings_Raw__rZMs_C__ZCA_N_C__Int),mAP (Embeddings_Raw__rZMs_C__ZCA_C__Int),mAP (Embeddings_Raw__rZMs_C__ZCA_C__Res11),mAP (Embeddings_Raw__rZMs_C__ZCA_C__Res01)
JCP2022_012818,2202.0,0.23254306250639853,0.3319467204414685,0.32120229610756357,0.3086367239451771,0.28935343397684243,0.28935343397684243,0.3123665618786346,0.2936784238331102,0.2936784238331102,0.3169156809319831,0.3010170044553242,0.30101747890383046,0.3123665618786346,0.3123665618786346,0.31141892714289043,0.3080965705804117,0.29060739432413357,0.29278419558834323,0.28958597943882525,0.2895837401262233,0.3319467204414685,0.32120229610756357,0.3086367239451771,0.28689812644540447,0.28689812644540447,0.2924566383959803,0.2924593679535207,0.29329668505109896,0.29329668505109896,0.3057099246876822,0.30571038168371684,0.28689812644540447,0.28689812644540447,0.28909860072268107,0.2941031217154737,0.2895837401262233,0.2895837401262233,0.31141892714289043,0.3080965705804117,0.29060739432413357,0.29278419558834323,0.2936784238331102,0.2936784238331102,0.3010170044553242,0.30101747890383046,0.3110284811665806,0.3084322912114577,0.29357470499539573,0.2963021137726122
JCP2022_025848,2211.0,0.20014539352598307,0.21854049039460477,0.26877323985392854,0.26258415210714375,0.18611522560936858,0.18611522560936858,0.19197310567845569,0.18973743806058033,0.18973743806058033,0.18972365702327734,0.1826496012880888,0.1826497420733549,0.19197310567845569,0.19197310567845569,0.19715218273299098,0.2039481135455878,0.21527984393927,0.2269631785911263,0.1791965266168951,0.1791966988266967,0.21854049039460477,0.26877323985392854,0.26258415210714375,0.18415907678227283,0.18415907678227283,0.1905687954571732,0.1905688134946473,0.1896195455136955,0.1896195455136955,0.1855072180850054,0.18550749564578659,0.18415907678227283,0.18415907678227283,0.17890779300568863,0.1860981661177448,0.1791966988266967,0.1791966988266967,0.19715218273299098,0.2039481135455878,0.21527984393927,0.2269631785911263,0.18973743806058033,0.18973743806058033,0.1826496012880888,0.1826497420733549,0.20195064374414431,0.2092977630882149,0.22022356955617273,0.23164170030127917
JCP2022_035095,1505.0,0.3056321429211811,0.6588686442034207,0.5898492345223629,0.5152780648140797,0.6774463786725845,0.6774463786725845,0.6691565887734658,0.7043300349463494,0.7043300349463494,0.6517375700869787,0.6858106494379995,0.6858123622513943,0.6691565887734658,0.6691565887734658,0.7183180039162532,0.7049948231086441,0.5619989975112785,0.2908825693993813,0.6730577308074491,0.6730471541804958,0.6588686442034207,0.5898492345223629,0.5152780648140797,0.6761101955523717,0.6761101955523717,0.6972440913050125,0.6972622477221536,0.7049778402752865,0.7049778402752865,0.6699132229814132,0.6699149027900325,0.6761101955523717,0.6761101955523717,0.6710375547022125,0.6768527248622609,0.6730471541804958,0.6730471541804958,0.7183180039162532,0.7049948231086441,0.5619989975112785,0.2908825693993813,0.7043300349463494,0.7043300349463494,0.6858106494379995,0.6858123622513943,0.7225826046860429,0.7100173335588957,0.5806881267339109,0.3231406983102053
JCP2022_037716,2211.0,0.5319004230278391,0.8654441959299484,0.8379924704624006,0.810756917402965,0.835750605066925,0.835750605066925,0.829240104654122,0.848124311869861,0.848124311869861,0.8344536935529413,0.840479303732255,0.8404808720213782,0.829240104654122,0.829240104654122,0.8697790310554252,0.8624008071863555,0.8438936055228493,0.6442923595608409,0.829855889418481,0.8298463484855497,0.8654441959299484,0.8379924704624006,0.810756917402965,0.834135915190252,0.834135915190252,0.8323700788317545,0.8323706136038449,0.8498273668014001,0.8498273668014001,0.8268399256050349,0.8268414649256878,0.834135915190252,0.834135915190252,0.8269784793661678,0.8316629350712255,0.8298463484855497,0.8298463484855497,0.8697790310554252,0.8624008071863555,0.8438936055228493,0.6442923595608409,0.848124311869861,0.848124311869861,0.840479303732255,0.8404808720213782,0.8704072397564868,0.8633112516382109,0.846762215270493,0.6537803268885408
JCP2022_046054,2210.0,0.33425140197133113,0.6980438822050862,0.6849672947909885,0.57520088560856,0.7729683456937675,0.7729683456937675,0.7013332272919498,0.77302400971501,0.77302400971501,0.6637552906363133,0.7809700487700992,0.7809721181339442,0.7013332272919498,0.7013332272919498,0.7948552562105163,0.7738988400464185,0.6033314093527715,0.2900409510493252,0.7554322486933329,0.7554227952674648,0.6980438822050862,0.6849672947909885,0.57520088560856,0.7730871066044825,0.7730871066044825,0.7583153300370674,0.7583143924240915,0.773658786534438,0.773658786534438,0.759801870594488,0.7598039422527261,0.7730871066044825,0.7730871066044825,0.7502755978679021,0.7438422658091355,0.7554227952674648,0.7554227952674648,0.7948552562105163,0.7738988400464185,0.6033314093527715,0.2900409510493252,0.77302400971501,0.77302400971501,0.7809700487700992,0.7809721181339442,0.8061414986630646,0.7877505951381124,0.6337200533252961,0.33818718523562613
JCP2022_050797,2207.0,0.19182945292219167,0.1771284501375994,0.25050524840017213,0.2550930693472494,0.13641450241837766,0.13641450241837766,0.1400170254708836,0.1374943368166903,0.1374943368166903,0.13657912344739825,0.13596925684710784,0.13596942433930823,0.1400170254708836,0.1400170254708836,0.15155149317783742,0.16227249453583545,0.21144524269888323,0.23397185132089246,0.1359606104017396,0.1359635375905867,0.1771284501375994,0.25050524840017213,0.2550930693472494,0.13587299278446383,0.13587299278446383,0.13762974340844902,0.13763057931277659,0.13749763890973882,0.13749763890973882,0.1356623074888242,0.13566219463852489,0.13587299278446383,0.13587299278446383,0.13579864858062854,0.14195355140725346,0.1359635375905867,0.1359635375905867,0.15155149317783742,0.16227249453583545,0.21144524269888323,0.23397185132089246,0.1374943368166903,0.1374943368166903,0.13596925684710784,0.13596942433930823,0.15177213290710811,0.16283590608221823,0.21344124662833822,0.23525155666290912
JCP2022_064022,2208.0,0.24205216077191768,0.43789196428903215,0.4005794468240761,0.42380456260665067,0.4780366535954701,0.4780366535954701,0.4101572772948433,0.4366335660787705,0.4366335660787705,0.40368165208678153,0.46454018351499055,0.4645409382718931,0.4101572772948433,0.4101572772948433,0.524562005668658,0.5113635090180885,0.3824809566758096,0.28974840783287725,0.482037617926129,0.4820409605625041,0.43789196428903215,0.4005794468240761,0.42380456260665067,0.46685142287446374,0.46685142287446374,0.43250463850594434,0.4325248951436729,0.4384214388371721,0.4384214388371721,0.45558652928383087,0.4555877798578113,0.46685142287446374,0.46685142287446374,0.4806509310666634,0.4808669853443565,0.4820409605625041,0.4820409605625041,0.524562005668658,0.5113635090180885,0.3824809566758096,0.28974840783287725,0.4366335660787705,0.4366335660787705,0.46454018351499055,0.4645409382718931,0.5019308087650353,0.4863305164805534,0.365964135556216,0.27950371706042626
JCP2022_085227,2100.0,0.19376503087730468,0.19714294064434315,0.2605118222329654,0.2571964871998198,0.13206281015880425,0.13206281015880425,0.15303389428767974,0.13490042231243962,0.13490042231243962,0.1494520877652854,0.13244403677111577,0.13244399967112103,0.15303389428767974,0.15303389428767974,0.15043284634268944,0.16305454650185683,0.20529828336622727,0.22270317178150434,0.13248838686063,0.1324918644269945,0.19714294064434315,0.2605118222329654,0.2571964871998198,0.13230492229727492,0.13230492229727492,0.13469563055475417,0.13469609867636148,0.13473908534162352,0.13473908534162352,0.13163422681616574,0.1316342682623111,0.13230492229727492,0.13230492229727492,0.13233067664287648,0.13912809527055772,0.1324918644269945,0.1324918644269945,0.15043284634268944,0.16305454650185683,0.20529828336622727,0.22270317178150434,0.13490042231243962,0.13490042231243962,0.13244403677111577,0.13244399967112103,0.15027877561674094,0.16307256373712917,0.2064954749975812,0.2231016696256577
Mean mAP,2106.75,0.2790148835655184,0.44812591103068794,0.4517976316493072,0.42606885787895565,0.43851849439901747,0.43851849439901747,0.4259097231662543,0.4397403179541014,0.4397403179541014,0.4182873444413699,0.44048501060212264,0.44048586695827807,0.4259097231662543,0.4259097231662543,0.46475871828090765,0.46125371306539975,0.4142919666739029,0.31142333564053637,0.43470187377043523,0.43469913743331445,0.44812591103068794,0.4517976316493072,0.42606885787895565,0.43617746981637323,0.43617746981637323,0.4344731183120169,0.4344783760413836,0.4402547984080567,0.4402547984080567,0.43383190319280557,0.4338328037570746,0.43617746981637323,0.43617746981637323,0.43313478524435256,0.436813480699751,0.43469913743331445,0.43469913743331445,0.46475871828090765,0.46125371306539975,0.4142919666739029,0.31142333564053637,0.4397403179541014,0.4397403179541014,0.44048501060212264,0.44048586695827807,0.4645115231631504,0.46138102761684907,0.42010869088292546,0.3226136209821571
