Label,Number of Queries,mAP (Embeddings_Raw),mAP (Embeddings_Raw__Int),mAP (Embeddings_Raw__Res11),mAP (Embeddings_Raw__Res01),mAP (Embeddings_Raw__ZCA_N_C),mAP (Embeddings_Raw__ZCA_C),mAP (Embeddings_Raw__rZMs_C),mAP (Embeddings_Raw__Int__ZCA_N_C),mAP (Embeddings_Raw__Int__ZCA_C),mAP (Embeddings_Raw__Int__rZMs_C),mAP (Embeddings_Raw__Res11__ZCA_C),mAP (Embeddings_Raw__Res01__ZCA_C),mAP (Embeddings_Raw__Res11__rZMs_C),mAP (Embeddings_Raw__Res01__rZMs_C),mAP (Embeddings_Raw__ZCA_N_C__Int),mAP (Embeddings_Raw__ZCA_C__Int),mAP (Embeddings_Raw__ZCA_C__Res11),mAP (Embeddings_Raw__ZCA_C__Res01),mAP (Embeddings_Raw__ZCA_N_C__rZMs_C),mAP (Embeddings_Raw__ZCA_C__rZMs_C),mAP (Embeddings_Raw__rZMs_C__Int),mAP (Embeddings_Raw__rZMs_C__Res11),mAP (Embeddings_Raw__rZMs_C__Res01),mAP (Embeddings_Raw__rZMs_C__ZCA_N_C),mAP (Embeddings_Raw__rZMs_C__ZCA_C),mAP (Embeddings_Raw__Int__ZCA_N_C__rZMs_C),mAP (Embeddings_Raw__Int__ZCA_C__rZMs_C),mAP (Embeddings_Raw__Int__rZMs_C__ZCA_N_C),mAP (Embeddings_Raw__Int__rZMs_C__ZCA_C),mAP (Embeddings_Raw__Res11__ZCA_C__rZMs_C),mAP (Embeddings_Raw__Res01__ZCA_C__rZMs_C),mAP (Embeddings_Raw__Res11__rZMs_C__ZCA_C),mAP (Embeddings_Raw__Res01__rZMs_C__ZCA_C),mAP (Embeddings_Raw__ZCA_N_C__Int__rZMs_C),mAP (Embeddings_Raw__ZCA_C__Int__rZMs_C),mAP (Embeddings_Raw__ZCA_C__Res11__rZMs_C),mAP (Embeddings_Raw__ZCA_C__Res01__rZMs_C),mAP (Embeddings_Raw__ZCA_N_C__rZMs_C__Int),mAP (Embeddings_Raw__ZCA_C__rZMs_C__Int),mAP (Embeddings_Raw__ZCA_C__rZMs_C__Res11),mAP (Embeddings_Raw__ZCA_C__rZMs_C__Res01),mAP (Embeddings_Raw__rZMs_C__Int__ZCA_N_C),mAP (Embeddings_Raw__rZMs_C__Int__ZCA_C),mAP (Embeddings_Raw__rZMs_C__Res11__ZCA_C),mAP (Embeddings_Raw__rZMs_C__Res01__ZCA_C),mAP (Embeddings_Raw__rZMs_C__ZCA_N_C__Int),mAP (Embeddings_Raw__rZMs_C__ZCA_C__Int),mAP (Embeddings_Raw__rZMs_C__ZCA_C__Res11),mAP (Embeddings_Raw__rZMs_C__ZCA_C__Res01)
JCP2022_012818,2204.0,0.19577339425438076,0.27022960061890927,0.2806233943370106,0.25721108599711695,0.26635017196268146,0.26635017196268146,0.2555755486650872,0.2512965582292289,0.2512965582292289,0.25275928081926113,0.2739219950457433,0.2739254262126029,0.2555755486650872,0.2555755486650872,0.2829503439781926,0.2672832335258453,0.23918147152317057,0.2035078492860571,0.26608408668715516,0.2660692795397113,0.27022960061890927,0.2806233943370106,0.25721108599711695,0.26433142781054836,0.26433142781054836,0.24886819936748378,0.2488546006801947,0.25069110226479197,0.25069110226479197,0.27912317147026133,0.2791262730005635,0.26433142781054836,0.26433142781054836,0.2641873409764045,0.2566669667576583,0.2660692795397113,0.2660692795397113,0.2829503439781926,0.2672832335258453,0.23918147152317057,0.2035078492860571,0.2512965582292289,0.2512965582292289,0.2739219950457433,0.2739254262126029,0.2775566822726509,0.2630298616833778,0.2351878575053218,0.20211441968448288
JCP2022_025848,2210.0,0.18901335557512283,0.2085148730327337,0.23919937003277214,0.23251338889420586,0.15333662621252625,0.15333662621252625,0.18136764345537398,0.1544017434500928,0.1544017434500928,0.17823586701073332,0.15247987662113013,0.15248067590805553,0.18136764345537398,0.18136764345537398,0.16398005268324956,0.16962892455531528,0.19814433639766743,0.21904010642784044,0.15325445062391113,0.15326610642074515,0.2085148730327337,0.23919937003277214,0.23251338889420586,0.15196402951769128,0.15196402951769128,0.15476532198192403,0.15477109964938196,0.15367687199389518,0.15367687199389518,0.1538603674345748,0.15386082710248983,0.15196402951769128,0.15196402951769128,0.153001307755111,0.15659257320520292,0.15326610642074515,0.15326610642074515,0.16398005268324956,0.16962892455531528,0.19814433639766743,0.21904010642784044,0.1544017434500928,0.1544017434500928,0.15247987662113013,0.15248067590805553,0.16366531918747657,0.16965188913581597,0.2005319207388443,0.21960457535453784
JCP2022_035095,1504.0,0.21823860692903366,0.6311769272762205,0.6000494244709333,0.4689658125727225,0.6794120160779935,0.6794120160779935,0.6047254856057295,0.6262059647260405,0.6262059647260405,0.5911715055460804,0.6724298415039455,0.6724360670192909,0.6047254856057295,0.6047254856057295,0.6979415257016459,0.6669001022544987,0.4861214165695355,0.23159992131483614,0.6767482456062635,0.6767199898519742,0.6311769272762205,0.6000494244709333,0.4689658125727225,0.6570668188754423,0.6570668188754423,0.6387295432763583,0.6387360673582616,0.6226861535333307,0.6226861535333307,0.6833324155292025,0.6833384303085677,0.6570668188754423,0.6570668188754423,0.670124841830236,0.6505710941316705,0.6767199898519742,0.6767199898519742,0.6979415257016459,0.6669001022544987,0.4861214165695355,0.23159992131483614,0.6262059647260405,0.6262059647260405,0.6724298415039455,0.6724360670192909,0.687174169332857,0.6552772636312696,0.47017631224190887,0.21382138409176052
JCP2022_037716,2211.0,0.2661924202619022,0.6095716411995459,0.6141988792473873,0.5490175174173684,0.7730347049430967,0.7730347049430967,0.5609396446182235,0.6789328938797234,0.6789328938797234,0.5321409726349512,0.7513205984182694,0.7513329457686445,0.5609396446182235,0.5609396446182235,0.7968569695199746,0.741360160438439,0.5935411917988388,0.31802215685444174,0.7705196237878134,0.7704560823925605,0.6095716411995459,0.6141988792473873,0.5490175174173684,0.7329121907220216,0.7329121907220216,0.6725924576348394,0.6725671523930854,0.6806634531040134,0.6806634531040134,0.7495232824125944,0.7495360898250564,0.7329121907220216,0.7329121907220216,0.7606945304078716,0.7165471849232542,0.7704560823925605,0.7704560823925605,0.7968569695199746,0.741360160438439,0.5935411917988388,0.31802215685444174,0.6789328938797234,0.6789328938797234,0.7513205984182694,0.7513329457686445,0.7651574293199409,0.706799165120754,0.5700416975241707,0.3039808774485526
JCP2022_046054,2205.0,0.18869583579054203,0.3841928268722433,0.3261215453458357,0.3029171195554578,0.48554549287731685,0.48554549287731685,0.3712454285894389,0.4303826336852949,0.4303826336852949,0.3533391399463913,0.4541247694352774,0.4541381510375161,0.3712454285894389,0.3712454285894389,0.5021080250727834,0.4721964442141837,0.30526730189315365,0.20105542302918303,0.4793591093924624,0.4793637029655694,0.3841928268722433,0.3261215453458357,0.3029171195554578,0.45069139966885885,0.45069139966885885,0.4286615938012748,0.4286672659045909,0.430214001921121,0.430214001921121,0.4458097189380517,0.44582216705370015,0.45069139966885885,0.45069139966885885,0.4727665856311325,0.45702960964806166,0.4793637029655694,0.4793637029655694,0.5021080250727834,0.4721964442141837,0.30526730189315365,0.20105542302918303,0.4303826336852949,0.4303826336852949,0.4541247694352774,0.4541381510375161,0.47370966668706344,0.4485401450387095,0.29536294589706014,0.19465833706897187
JCP2022_050797,2204.0,0.1778830612014025,0.1704666265111277,0.2138963052504976,0.21944760356694834,0.1337578268879953,0.1337578268879953,0.14521417408512735,0.13393393646411875,0.13393393646411875,0.1421467119663479,0.13332700282203777,0.13332684430490596,0.14521417408512735,0.14521417408512735,0.14489403775551302,0.1535763167479814,0.1979944716341558,0.22156328051772978,0.13365511341608957,0.13366549289964602,0.1704666265111277,0.2138963052504976,0.21944760356694834,0.13325751828306892,0.13325751828306892,0.13389792735425143,0.13390301421747577,0.13384367772323955,0.13384367772323955,0.13327069980875778,0.13327048848846088,0.13325751828306892,0.13325751828306892,0.13374049497741222,0.1380399731958415,0.13366549289964602,0.13366549289964602,0.14489403775551302,0.1535763167479814,0.1979944716341558,0.22156328051772978,0.13393393646411875,0.13393393646411875,0.13332700282203777,0.13332684430490596,0.14466625807636507,0.1532825855243325,0.19944707500136058,0.22211828056303098
JCP2022_064022,2209.0,0.19744241784008407,0.3995060707887429,0.3800468125449547,0.3587243266667103,0.3924285587254698,0.3924285587254698,0.364605971956144,0.33394396995109793,0.33394396995109793,0.35055229542347877,0.3809938164488256,0.38100086135666855,0.364605971956144,0.364605971956144,0.42042869577120695,0.39861892967442625,0.2620383327266935,0.18830313519388098,0.3870003685865907,0.38699850117892315,0.3995060707887429,0.3800468125449547,0.3587243266667103,0.37347528214376496,0.37347528214376496,0.3332627360033436,0.3332774917433288,0.3342627215764303,0.3342627215764303,0.3829700477445213,0.38297795813074176,0.37347528214376496,0.37347528214376496,0.38346311941140343,0.37541997602485794,0.38699850117892315,0.38699850117892315,0.42042869577120695,0.39861892967442625,0.2620383327266935,0.18830313519388098,0.33394396995109793,0.33394396995109793,0.3809938164488256,0.38100086135666855,0.41387298672206607,0.3933885581059206,0.2577444526759706,0.18500312479201803
JCP2022_085227,2101.0,0.17631114007843302,0.1731269904960866,0.21399294974656902,0.21235713538182815,0.12934644152438549,0.12934644152438549,0.14644895062700614,0.12993913467798568,0.12993913467798568,0.14359873599944564,0.1295483138797527,0.12954827083665865,0.14644895062700614,0.14644895062700614,0.1413140937823661,0.1512310682808366,0.18822058271526393,0.2118543901929303,0.12917060945014075,0.12918095639188068,0.1731269904960866,0.21399294974656902,0.21235713538182815,0.12926952640110545,0.12926952640110545,0.1302418428952006,0.13024699003214582,0.12970127385921504,0.12970127385921504,0.12979203337284823,0.12979220444921083,0.12926952640110545,0.12926952640110545,0.1290334649954502,0.13418087153675046,0.12918095639188068,0.12918095639188068,0.1413140937823661,0.1512310682808366,0.18822058271526393,0.2118543901929303,0.12993913467798568,0.12993913467798568,0.1295483138797527,0.12954827083665865,0.14189093471022407,0.15235406818679365,0.1895079425645658,0.21119684768108649
Mean mAP,2106.0,0.20119377899136262,0.3558481945994513,0.35851608512199507,0.3251442487565448,0.37665147990143316,0.37665147990143316,0.32876535595026635,0.3423796043829479,0.3423796043829479,0.3179930636683362,0.3685182767718727,0.3685236553055429,0.32876535595026635,0.32876535595026635,0.3938092180331165,0.3775993974614408,0.3088136381573099,0.22436828285211244,0.3744739509438033,0.3744650139551263,0.3558481945994513,0.35851608512199507,0.3251442487565448,0.3616210241778127,0.3616210241778127,0.3426274527893345,0.3426279602473081,0.3419674069970047,0.3419674069970047,0.3697102170888515,0.36971555479484886,0.3616210241778127,0.3616210241778127,0.3708764607481277,0.3606310311779122,0.3744650139551263,0.3744650139551263,0.3938092180331165,0.3775993974614408,0.3088136381573099,0.22436828285211244,0.3423796043829479,0.3423796043829479,0.3685182767718727,0.3685236553055429,0.3834616807885805,0.36779044205337175,0.3022500255186503,0.21906223083555515
