Label,Number of Queries,mAP (Embeddings_Raw),mAP (Embeddings_Raw__Int),mAP (Embeddings_Raw__Res11),mAP (Embeddings_Raw__Res01),mAP (Embeddings_Raw__ZCA_N_C),mAP (Embeddings_Raw__ZCA_C),mAP (Embeddings_Raw__rZMs_C),mAP (Embeddings_Raw__Int__ZCA_N_C),mAP (Embeddings_Raw__Int__ZCA_C),mAP (Embeddings_Raw__Int__rZMs_C),mAP (Embeddings_Raw__Res11__ZCA_C),mAP (Embeddings_Raw__Res01__ZCA_C),mAP (Embeddings_Raw__Res11__rZMs_C),mAP (Embeddings_Raw__Res01__rZMs_C),mAP (Embeddings_Raw__ZCA_N_C__Int),mAP (Embeddings_Raw__ZCA_C__Int),mAP (Embeddings_Raw__ZCA_C__Res11),mAP (Embeddings_Raw__ZCA_C__Res01),mAP (Embeddings_Raw__ZCA_N_C__rZMs_C),mAP (Embeddings_Raw__ZCA_C__rZMs_C),mAP (Embeddings_Raw__rZMs_C__Int),mAP (Embeddings_Raw__rZMs_C__Res11),mAP (Embeddings_Raw__rZMs_C__Res01),mAP (Embeddings_Raw__rZMs_C__ZCA_N_C),mAP (Embeddings_Raw__rZMs_C__ZCA_C),mAP (Embeddings_Raw__Int__ZCA_N_C__rZMs_C),mAP (Embeddings_Raw__Int__ZCA_C__rZMs_C),mAP (Embeddings_Raw__Int__rZMs_C__ZCA_N_C),mAP (Embeddings_Raw__Int__rZMs_C__ZCA_C),mAP (Embeddings_Raw__Res11__ZCA_C__rZMs_C),mAP (Embeddings_Raw__Res01__ZCA_C__rZMs_C),mAP (Embeddings_Raw__Res11__rZMs_C__ZCA_C),mAP (Embeddings_Raw__Res01__rZMs_C__ZCA_C),mAP (Embeddings_Raw__ZCA_N_C__Int__rZMs_C),mAP (Embeddings_Raw__ZCA_C__Int__rZMs_C),mAP (Embeddings_Raw__ZCA_C__Res11__rZMs_C),mAP (Embeddings_Raw__ZCA_C__Res01__rZMs_C),mAP (Embeddings_Raw__ZCA_N_C__rZMs_C__Int),mAP (Embeddings_Raw__ZCA_C__rZMs_C__Int),mAP (Embeddings_Raw__ZCA_C__rZMs_C__Res11),mAP (Embeddings_Raw__ZCA_C__rZMs_C__Res01),mAP (Embeddings_Raw__rZMs_C__Int__ZCA_N_C),mAP (Embeddings_Raw__rZMs_C__Int__ZCA_C),mAP (Embeddings_Raw__rZMs_C__Res11__ZCA_C),mAP (Embeddings_Raw__rZMs_C__Res01__ZCA_C),mAP (Embeddings_Raw__rZMs_C__ZCA_N_C__Int),mAP (Embeddings_Raw__rZMs_C__ZCA_C__Int),mAP (Embeddings_Raw__rZMs_C__ZCA_C__Res11),mAP (Embeddings_Raw__rZMs_C__ZCA_C__Res01)
JCP2022_012818,2204.0,0.24862949736654277,0.29990979774455395,0.2885683373668315,0.28803400173426863,0.2739728595672751,0.2739728595672751,0.28585225359417726,0.28066154563143864,0.28066154563143864,0.28870133703294,0.2814980961007352,0.28149817335122235,0.28585225359417726,0.28585225359417726,0.29114051963211496,0.2872569180011077,0.2765131858386602,0.26823502526947274,0.2719927702029843,0.27198755019606075,0.29990979774455395,0.2885683373668315,0.28803400173426863,0.27259967756834164,0.27259967756834164,0.2789179596244685,0.2789131413778734,0.28017579484410654,0.28017579484410654,0.27987826896133317,0.2798782628756262,0.27259967756834164,0.27259967756834164,0.2722622303217599,0.27633452244489093,0.27198755019606075,0.27198755019606075,0.29114051963211496,0.2872569180011077,0.2765131858386602,0.26823502526947274,0.28066154563143864,0.28066154563143864,0.2814980961007352,0.28149817335122235,0.291930493375696,0.28791204925460473,0.2771983948014084,0.2676362281788218
JCP2022_025848,2210.0,0.230113993564292,0.2542314093675631,0.28915722712478426,0.27721686706866605,0.20233212471532808,0.20233212471532808,0.21849318680543384,0.2077316001592283,0.2077316001592283,0.21912242318175934,0.2013882753404709,0.20138866402972683,0.21849318680543384,0.21849318680543384,0.23950746131630976,0.25564620361945767,0.27415582531125615,0.25350337185727073,0.20408909352835725,0.2040956966622207,0.2542314093675631,0.28915722712478426,0.27721686706866605,0.2018558557761188,0.2018558557761188,0.2120437973840631,0.21204935392985097,0.2075987860425017,0.2075987860425017,0.20516532583329145,0.20516578020519136,0.2018558557761188,0.2018558557761188,0.20347687968159492,0.2182179910892637,0.2040956966622207,0.2040956966622207,0.23950746131630976,0.25564620361945767,0.27415582531125615,0.25350337185727073,0.2077316001592283,0.2077316001592283,0.2013882753404709,0.20138866402972683,0.23861655812235286,0.2543114635066004,0.27320344032574234,0.25357988342627397
JCP2022_035095,1504.0,0.42096363767043493,0.7189372471327364,0.6951897541714511,0.5504057144411244,0.7378102596736686,0.7378102596736686,0.710145461113098,0.7370469801516986,0.7370469801516986,0.7055203228518335,0.74143990096173,0.74144078650079,0.710145461113098,0.710145461113098,0.7552543877896398,0.7420728196944801,0.6244574270511397,0.3125331996006016,0.7339046374865006,0.7339051892228425,0.7189372471327364,0.6951897541714511,0.5504057144411244,0.7358664178018269,0.7358664178018269,0.7418578433128474,0.7418515891076404,0.7362141320303965,0.7362141320303965,0.743393043422641,0.743393923110874,0.7358664178018269,0.7358664178018269,0.7300954492016617,0.7318475138925037,0.7339051892228425,0.7339051892228425,0.7552543877896398,0.7420728196944801,0.6244574270511397,0.3125331996006016,0.7370469801516986,0.7370469801516986,0.74143990096173,0.74144078650079,0.7592881022267348,0.7463979335717448,0.6306475987394071,0.3200832004023068
JCP2022_037716,2211.0,0.4734954330830848,0.7327482237024998,0.7438148945474491,0.6685594754172401,0.7732547742725955,0.7732547742725955,0.6782073959349181,0.7780618859509296,0.7780618859509296,0.6783375922761345,0.7762889967770603,0.7762885196710186,0.6782073959349181,0.6782073959349181,0.8303879194964037,0.8227465915943393,0.8109140479798289,0.6126663420714757,0.770686257823209,0.770670636333044,0.7327482237024998,0.7438148945474491,0.6685594754172401,0.7684337347097302,0.7684337347097302,0.7725979688445492,0.7725850696430433,0.7768550894463591,0.7768550894463591,0.7593937033982281,0.759393479290097,0.7684337347097302,0.7684337347097302,0.7738629779790503,0.7872404647883802,0.770670636333044,0.770670636333044,0.8303879194964037,0.8227465915943393,0.8109140479798289,0.6126663420714757,0.7780618859509296,0.7780618859509296,0.7762889967770603,0.7762885196710186,0.8289825703251638,0.8207840315829618,0.8094439159077846,0.6062219252941988
JCP2022_046054,2205.0,0.4249479352208416,0.7079742658501861,0.6992297606069487,0.618427726903608,0.7283292546029821,0.7283292546029821,0.6549228604028404,0.7383711969336262,0.7383711969336262,0.6611708540055572,0.7325186525624935,0.7325198121368283,0.6549228604028404,0.6549228604028404,0.7821887482035175,0.7746915716531364,0.7001775021666231,0.5100147744342574,0.7263678409253734,0.726361537650632,0.7079742658501861,0.6992297606069487,0.618427726903608,0.7253414306976999,0.7253414306976999,0.7353742635174436,0.7353693440421568,0.7392359787436428,0.7392359787436428,0.7149266391571858,0.7149271285613922,0.7253414306976999,0.7253414306976999,0.7262873791142359,0.7423593340339959,0.726361537650632,0.726361537650632,0.7821887482035175,0.7746915716531364,0.7001775021666231,0.5100147744342574,0.7383711969336262,0.7383711969336262,0.7325186525624935,0.7325198121368283,0.778511009551916,0.7702137614035556,0.6935366333550367,0.5036931940426297
JCP2022_050797,2204.0,0.20932187161687696,0.1771726729874754,0.2338530903009632,0.2517853077976177,0.1364372633404357,0.1364372633404357,0.14312531655564223,0.1385156178467844,0.1385156178467844,0.1431877510734489,0.1363874215559964,0.13638733051955554,0.14312531655564223,0.14312531655564223,0.1620475496656116,0.17912016711073564,0.24481316711070408,0.25743410754586693,0.1365463004152109,0.13655110585243366,0.1771726729874754,0.2338530903009632,0.2517853077976177,0.13653941912401238,0.13653941912401238,0.13916050114273046,0.13916428302890893,0.1387290135863615,0.1387290135863615,0.13705645517467618,0.13705673687665404,0.13653941912401238,0.13653941912401238,0.1364753289575766,0.14673062528268122,0.13655110585243366,0.13655110585243366,0.1620475496656116,0.17912016711073564,0.24481316711070408,0.25743410754586693,0.1385156178467844,0.1385156178467844,0.1363874215559964,0.13638733051955554,0.16146179008658573,0.17837564344734974,0.24409480890360685,0.25694488588792785
JCP2022_064022,2209.0,0.33425738369880337,0.5301314900724929,0.5117117282308007,0.4749211342935132,0.5029447548713928,0.5029447548713928,0.48000367138868855,0.513884600675799,0.513884600675799,0.49078265368996504,0.5071259090057181,0.5071261450200883,0.48000367138868855,0.48000367138868855,0.5696653412441469,0.5627090843266692,0.5091002792472549,0.3763905414004995,0.4988553257040202,0.49885935579459306,0.5301314900724929,0.5117117282308007,0.4749211342935132,0.49892116032624684,0.49892116032624684,0.5161665787308486,0.5161671651021612,0.5133313846057631,0.5133313846057631,0.4963325673371191,0.4963325886362743,0.49892116032624684,0.49892116032624684,0.4994207900337197,0.5196674548102231,0.49885935579459306,0.49885935579459306,0.5696653412441469,0.5627090843266692,0.5091002792472549,0.3763905414004995,0.513884600675799,0.513884600675799,0.5071259090057181,0.5071261450200883,0.5738256021944226,0.5668592163678945,0.5108753164074551,0.3777860270001025
JCP2022_085227,2101.0,0.20829804543409838,0.18533881267475147,0.24446774090472856,0.2527260507855717,0.13192333459731473,0.13192333459731473,0.1452041593564861,0.1337226986457409,0.1337226986457409,0.14495240881212149,0.13186951263148788,0.13186909322391832,0.1452041593564861,0.1452041593564861,0.15910680455598333,0.17647297873095621,0.2397426133186785,0.2552181841767634,0.13224835872530263,0.13225350249815557,0.18533881267475147,0.24446774090472856,0.2527260507855717,0.13198956281140545,0.13198956281140545,0.134451917055241,0.13445659474874555,0.13387715256228827,0.13387715256228827,0.1327379364217522,0.13273758526306623,0.13198956281140545,0.13198956281140545,0.13208255858392343,0.14231317625269116,0.13225350249815557,0.13225350249815557,0.15910680455598333,0.17647297873095621,0.2397426133186785,0.2552181841767634,0.1337226986457409,0.1337226986457409,0.13186951263148788,0.13186909322391832,0.15805100563637417,0.1751552221200584,0.238393602052867,0.2542564745569026
Mean mAP,2106.0,0.3187534747068719,0.4508054899415324,0.46324906665674465,0.42275953480520123,0.43587557820512407,0.43587557820512407,0.41449428814391054,0.4409995157494057,0.4409995157494057,0.41647191786547,0.43856459561696154,0.43856481555664356,0.41449428814391054,0.41449428814391054,0.47366234148796593,0.4750895418413603,0.4599842560030182,0.35574944329452596,0.43433632310136977,0.4343355717762478,0.4508054899415324,0.46324906665674465,0.42275953480520123,0.4339434073519227,0.4339434073519227,0.441321353701524,0.44131956762254754,0.44075216648267745,0.44075216648267745,0.4336104924632784,0.4336106856023969,0.4339434073519227,0.4339434073519227,0.4342454492341903,0.4455888853243287,0.4343355717762478,0.4343355717762478,0.47366234148796593,0.4750895418413603,0.4599842560030182,0.35574944329452596,0.4409995157494057,0.4409995157494057,0.43856459561696154,0.43856481555664356,0.47383339143990577,0.47500116515684626,0.4596742138116635,0.3550252273486455
