Label,Number of Queries,mAP (Embeddings_Raw),mAP (Embeddings_Raw__Int),mAP (Embeddings_Raw__ZCA_N_C),mAP (Embeddings_Raw__ZCA_N),mAP (Embeddings_Raw__ZCA_C),mAP (Embeddings_Raw__ZCA),mAP (Embeddings_Raw__ZCA-cor_N_C),mAP (Embeddings_Raw__ZCA-cor_N),mAP (Embeddings_Raw__ZCA-cor_C),mAP (Embeddings_Raw__ZCA-cor),mAP (Embeddings_Raw__rZMs_C),mAP (Embeddings_Raw__Int__ZCA_N_C),mAP (Embeddings_Raw__Int__ZCA_N),mAP (Embeddings_Raw__Int__ZCA_C),mAP (Embeddings_Raw__Int__ZCA),mAP (Embeddings_Raw__Int__ZCA-cor_N_C),mAP (Embeddings_Raw__Int__ZCA-cor_N),mAP (Embeddings_Raw__Int__ZCA-cor_C),mAP (Embeddings_Raw__Int__ZCA-cor),mAP (Embeddings_Raw__Int__rZMs_C),mAP (Embeddings_Raw__ZCA_N_C__Int),mAP (Embeddings_Raw__ZCA_N__Int),mAP (Embeddings_Raw__ZCA_C__Int),mAP (Embeddings_Raw__ZCA__Int),mAP (Embeddings_Raw__ZCA-cor_N_C__Int),mAP (Embeddings_Raw__ZCA-cor_N__Int),mAP (Embeddings_Raw__ZCA-cor_C__Int),mAP (Embeddings_Raw__ZCA-cor__Int),mAP (Embeddings_Raw__ZCA_N_C__rZMs_C),mAP (Embeddings_Raw__ZCA_N__rZMs_C),mAP (Embeddings_Raw__ZCA_C__rZMs_C),mAP (Embeddings_Raw__ZCA__rZMs_C),mAP (Embeddings_Raw__ZCA-cor_N_C__rZMs_C),mAP (Embeddings_Raw__ZCA-cor_N__rZMs_C),mAP (Embeddings_Raw__ZCA-cor_C__rZMs_C),mAP (Embeddings_Raw__ZCA-cor__rZMs_C),mAP (Embeddings_Raw__rZMs_C__Int),mAP (Embeddings_Raw__rZMs_C__ZCA_N_C),mAP (Embeddings_Raw__rZMs_C__ZCA_N),mAP (Embeddings_Raw__rZMs_C__ZCA_C),mAP (Embeddings_Raw__rZMs_C__ZCA),mAP (Embeddings_Raw__rZMs_C__ZCA-cor_N_C),mAP (Embeddings_Raw__rZMs_C__ZCA-cor_N),mAP (Embeddings_Raw__rZMs_C__ZCA-cor_C),mAP (Embeddings_Raw__rZMs_C__ZCA-cor),mAP (Embeddings_Raw__Int__ZCA_N_C__rZMs_C),mAP (Embeddings_Raw__Int__ZCA_N__rZMs_C),mAP (Embeddings_Raw__Int__ZCA_C__rZMs_C),mAP (Embeddings_Raw__Int__ZCA__rZMs_C),mAP (Embeddings_Raw__Int__ZCA-cor_N_C__rZMs_C),mAP (Embeddings_Raw__Int__ZCA-cor_N__rZMs_C),mAP (Embeddings_Raw__Int__ZCA-cor_C__rZMs_C),mAP (Embeddings_Raw__Int__ZCA-cor__rZMs_C),mAP (Embeddings_Raw__Int__rZMs_C__ZCA_N_C),mAP (Embeddings_Raw__Int__rZMs_C__ZCA_N),mAP (Embeddings_Raw__Int__rZMs_C__ZCA_C),mAP (Embeddings_Raw__Int__rZMs_C__ZCA),mAP (Embeddings_Raw__Int__rZMs_C__ZCA-cor_N_C),mAP (Embeddings_Raw__Int__rZMs_C__ZCA-cor_N),mAP (Embeddings_Raw__Int__rZMs_C__ZCA-cor_C),mAP (Embeddings_Raw__Int__rZMs_C__ZCA-cor),mAP (Embeddings_Raw__ZCA_N_C__Int__rZMs_C),mAP (Embeddings_Raw__ZCA_N__Int__rZMs_C),mAP (Embeddings_Raw__ZCA_C__Int__rZMs_C),mAP (Embeddings_Raw__ZCA__Int__rZMs_C),mAP (Embeddings_Raw__ZCA-cor_N_C__Int__rZMs_C),mAP (Embeddings_Raw__ZCA-cor_N__Int__rZMs_C),mAP (Embeddings_Raw__ZCA-cor_C__Int__rZMs_C),mAP (Embeddings_Raw__ZCA-cor__Int__rZMs_C),mAP (Embeddings_Raw__ZCA_N_C__rZMs_C__Int),mAP (Embeddings_Raw__ZCA_N__rZMs_C__Int),mAP (Embeddings_Raw__ZCA_C__rZMs_C__Int),mAP (Embeddings_Raw__ZCA__rZMs_C__Int),mAP (Embeddings_Raw__ZCA-cor_N_C__rZMs_C__Int),mAP (Embeddings_Raw__ZCA-cor_N__rZMs_C__Int),mAP (Embeddings_Raw__ZCA-cor_C__rZMs_C__Int),mAP (Embeddings_Raw__ZCA-cor__rZMs_C__Int),mAP (Embeddings_Raw__rZMs_C__Int__ZCA_N_C),mAP (Embeddings_Raw__rZMs_C__Int__ZCA_N),mAP (Embeddings_Raw__rZMs_C__Int__ZCA_C),mAP (Embeddings_Raw__rZMs_C__Int__ZCA),mAP (Embeddings_Raw__rZMs_C__Int__ZCA-cor_N_C),mAP (Embeddings_Raw__rZMs_C__Int__ZCA-cor_N),mAP (Embeddings_Raw__rZMs_C__Int__ZCA-cor_C),mAP (Embeddings_Raw__rZMs_C__Int__ZCA-cor),mAP (Embeddings_Raw__rZMs_C__ZCA_N_C__Int),mAP (Embeddings_Raw__rZMs_C__ZCA_N__Int),mAP (Embeddings_Raw__rZMs_C__ZCA_C__Int),mAP (Embeddings_Raw__rZMs_C__ZCA__Int),mAP (Embeddings_Raw__rZMs_C__ZCA-cor_N_C__Int),mAP (Embeddings_Raw__rZMs_C__ZCA-cor_N__Int),mAP (Embeddings_Raw__rZMs_C__ZCA-cor_C__Int),mAP (Embeddings_Raw__rZMs_C__ZCA-cor__Int)
JCP2022_012818,2202.0,0.24491636911419046,0.29712566271960866,0.2695027550974809,0.2060475773543979,0.2695027550974809,0.2060475773543979,0.2684959888898992,0.20548135116140445,0.2684959888898992,0.20548135116140445,0.2828651192146043,0.27673387284460055,0.20613750960068314,0.27673387284460055,0.20613750960068314,0.2762945318932666,0.206137502025724,0.2762945318932666,0.206137502025724,0.28538572332512124,0.2866535117601279,0.20444577994520585,0.2820796019728255,0.20444608694862135,0.2873420180971179,0.21420837629815767,0.28271860168121693,0.21420710755085698,0.2680685058571955,0.20359430235216508,0.26806281659037745,0.20359432775921352,0.26858442919658604,0.21291840824619965,0.26857797840716774,0.21291640878045576,0.29712566271960866,0.2684959888898992,0.20507306564785976,0.2684959888898992,0.20507306564785976,0.2684959888898992,0.20548135116140445,0.2684959888898992,0.20548135116140445,0.2751793320713861,0.205764792894349,0.27517396533992133,0.205764678563325,0.2746909699746281,0.2057647822112191,0.2746857598751669,0.205764670697781,0.2762945318932666,0.20627241200820326,0.2762945318932666,0.20627241200820326,0.2762945318932666,0.206137502025724,0.2762945318932666,0.206137502025724,0.26811623445898336,0.20303651702330264,0.271334347391856,0.20303958461323046,0.2688056126988734,0.21248586607276085,0.27166584944959693,0.21248537453079483,0.2866535117601279,0.20444577994520585,0.2820796019728255,0.20444608694862135,0.2873420180971179,0.21420837629815767,0.28271860168121693,0.21420710755085698,0.27673387284460055,0.20613750960068314,0.27673387284460055,0.20613750960068314,0.2762945318932666,0.206137502025724,0.2762945318932666,0.206137502025724,0.2873420180971179,0.2051745414766136,0.28271860168121693,0.20517596678534816,0.2873420180971179,0.21420837629815767,0.28271860168121693,0.21420710755085698
JCP2022_025848,2211.0,0.23202474640270374,0.2585515509460952,0.2029384017201615,0.18856427316831673,0.2029384017201615,0.18856427316831673,0.20226626679217113,0.18756566198798028,0.20226626679217113,0.18756566198798028,0.22058557523576988,0.20750470371993532,0.19164511750264995,0.20750470371993532,0.19164511750264995,0.2074173315528768,0.19164514516542458,0.2074173315528768,0.19164514516542458,0.221141748069971,0.24063026296030554,0.18897926603233092,0.2567060316195666,0.18898936656312332,0.23945127175858794,0.19190610620449686,0.2550542032666749,0.1919155188427655,0.20460771464365723,0.18241385607707636,0.20461571974773285,0.1824188650040058,0.20401344125439388,0.18275860488567225,0.20402071986715492,0.18276351345889644,0.2585515509460952,0.20226626679217113,0.18771623431431622,0.20226626679217113,0.18771623431431622,0.20226626679217113,0.18756566198798028,0.20226626679217113,0.18756566198798028,0.21173640772923885,0.18796010630588875,0.21174217003448148,0.18796444117444866,0.20880274731484988,0.1879600996756175,0.20880866374563117,0.18796442770287936,0.2074173315528768,0.19123952783319687,0.2074173315528768,0.19123952783319687,0.2074173315528768,0.19164514516542458,0.2074173315528768,0.19164514516542458,0.20401107630937632,0.18188437766386797,0.21864980982429325,0.18189180176468991,0.2036765971331387,0.18217023686618294,0.21755829536838192,0.18217926610316656,0.24063026296030554,0.18897926603233092,0.2567060316195666,0.18898936656312332,0.23945127175858794,0.19190610620449686,0.2550542032666749,0.1919155188427655,0.20750470371993532,0.19164511750264995,0.20750470371993532,0.19164511750264995,0.2074173315528768,0.19164514516542458,0.2074173315528768,0.19164514516542458,0.23945127175858794,0.18867580785017618,0.2550542032666749,0.18868472584205426,0.23945127175858794,0.19190610620449686,0.2550542032666749,0.1919155188427655
JCP2022_035095,1505.0,0.41539336974304614,0.7109017477583401,0.7371901164342229,0.48762130533058057,0.7371901164342229,0.48762130533058057,0.7356898104333593,0.4861620530310928,0.7356898104333593,0.4861620530310928,0.7039686201109041,0.7359394141527519,0.4874861041782499,0.7359394141527519,0.4874861041782499,0.7354632462634574,0.4874861739006383,0.7354632462634574,0.4874861739006383,0.6994804829959593,0.7536832451571092,0.48143133180359343,0.7411252630848058,0.4814189957562521,0.7574993035714658,0.5104386307705082,0.7450408501143236,0.5104147325470121,0.7338452552233892,0.4966273174100054,0.7338471447128222,0.4966235697656597,0.7381744766340963,0.5212724655835385,0.7381770030754651,0.5212702763917885,0.7109017477583401,0.7356898104333593,0.4825346905593386,0.7356898104333593,0.4825346905593386,0.7356898104333593,0.4861620530310928,0.7356898104333593,0.4861620530310928,0.7398697894980515,0.51604168260791,0.7398613313796297,0.5160322108032184,0.7363391670211951,0.5160416580373681,0.736331088910091,0.5160321613627737,0.7354632462634574,0.4848249035028473,0.7354632462634574,0.4848249035028473,0.7354632462634574,0.4874861739006383,0.7354632462634574,0.4874861739006383,0.7299118292360267,0.49288962062375435,0.7320594308041345,0.4928660285971432,0.7346881172583524,0.5177450217254416,0.73612251146082,0.5177087652006223,0.7536832451571092,0.48143133180359343,0.7411252630848058,0.4814189957562521,0.7574993035714658,0.5104386307705082,0.7450408501143236,0.5104147325470121,0.7359394141527519,0.4874861041782499,0.7359394141527519,0.4874861041782499,0.7354632462634574,0.4874861739006383,0.7354632462634574,0.4874861739006383,0.7574993035714658,0.4885557097523224,0.7450408501143236,0.4885581528059316,0.7574993035714658,0.5104386307705082,0.7450408501143236,0.5104147325470121
JCP2022_037716,2211.0,0.4655159655583782,0.7260255788041886,0.76746543730081,0.4774116948165522,0.76746543730081,0.4774116948165522,0.7631841199139651,0.4760622125914299,0.7631841199139651,0.4760622125914299,0.6703999235040796,0.7722274643748599,0.47986884410390546,0.7722274643748599,0.47986884410390546,0.7707885101314034,0.4798688228251818,0.7707885101314034,0.4798688228251818,0.6702341333163808,0.8246232962196924,0.4786132732747459,0.8174934449399165,0.4785692923499882,0.8231314720729669,0.49609710755040487,0.8153825257018538,0.4960583860294141,0.765505554617275,0.4802900182823498,0.765487392878389,0.4802749877039538,0.7630956953570417,0.49477806212551767,0.7630773083058593,0.494759949777497,0.7260255788041886,0.7631841199139651,0.4757770094311024,0.7631841199139651,0.4757770094311024,0.7631841199139651,0.4760622125914299,0.7631841199139651,0.4760622125914299,0.7669873899746981,0.4823540947528892,0.7669712404268677,0.4823415470162947,0.769651034639963,0.48235407580739775,0.769635432625253,0.4823415408632783,0.7707885101314034,0.47975153598730036,0.7707885101314034,0.47975153598730036,0.7707885101314034,0.4798688228251818,0.7707885101314034,0.4798688228251818,0.7685666254421146,0.4783464297703572,0.7820071909878725,0.4782962366553139,0.7666878306712418,0.4931800560628731,0.7790140789952519,0.4931361324395573,0.8246232962196924,0.4786132732747459,0.8174934449399165,0.4785692923499882,0.8231314720729669,0.49609710755040487,0.8153825257018538,0.4960583860294141,0.7722274643748599,0.47986884410390546,0.7722274643748599,0.47986884410390546,0.7707885101314034,0.4798688228251818,0.7707885101314034,0.4798688228251818,0.8231314720729669,0.4728505649983451,0.8153825257018538,0.4728038177352567,0.8231314720729669,0.49609710755040487,0.8153825257018538,0.4960583860294141
JCP2022_046054,2210.0,0.4243368216290518,0.7031011114431326,0.7250196925921856,0.44487795544719366,0.7250196925921856,0.44487795544719366,0.7213189277656222,0.442471416147,0.7213189277656222,0.442471416147,0.6490677430608828,0.733678324778308,0.4433836939582839,0.733678324778308,0.4433836939582839,0.7341936878347707,0.4433836671835875,0.7341936878347707,0.4433836671835875,0.6542043790748194,0.7816096294717007,0.44207380189293183,0.7741341046713144,0.44206024457226234,0.7775234717897807,0.456183245468473,0.7688730071745922,0.45619515751006456,0.7231106202868101,0.4483270672435889,0.7231027372199169,0.44831816162019417,0.7191492750465399,0.4594781051445067,0.7191420752079906,0.45946941450363216,0.7031011114431326,0.7213189277656222,0.4429333595332752,0.7213189277656222,0.4429333595332752,0.7213189277656222,0.442471416147,0.7213189277656222,0.442471416147,0.7302349396140989,0.4532509813713051,0.7302287977591202,0.4532430649115178,0.7312170460014427,0.45325099320101647,0.731210506070938,0.4532430972540209,0.7341936878347707,0.444931994049578,0.7341936878347707,0.444931994049578,0.7341936878347707,0.4433836671835875,0.7341936878347707,0.4433836671835875,0.7229794759001041,0.44606222939295237,0.7397599520331463,0.44604456073072574,0.7195510252706668,0.4573430058469752,0.7344563092860437,0.4573542430321894,0.7816096294717007,0.44207380189293183,0.7741341046713144,0.44206024457226234,0.7775234717897807,0.456183245468473,0.7688730071745922,0.45619515751006456,0.733678324778308,0.4433836939582839,0.733678324778308,0.4433836939582839,0.7341936878347707,0.4433836671835875,0.7341936878347707,0.4433836671835875,0.7775234717897807,0.43886868762174713,0.7688730071745922,0.43886914070741817,0.7775234717897807,0.456183245468473,0.7688730071745922,0.45619515751006456
JCP2022_050797,2207.0,0.2080119118784131,0.17749555316245005,0.13630589690461054,0.14144189909293192,0.13630589690461054,0.14144189909293192,0.13639473346780498,0.1414832585809287,0.13639473346780498,0.1414832585809287,0.14338881768681627,0.13834571660669864,0.1427682389837539,0.13834571660669864,0.1427682389837539,0.13847892884500598,0.14276824507852487,0.13847892884500598,0.14276824507852487,0.14360216808081863,0.16161366422945275,0.14147100314959776,0.17857895484983877,0.14147373729024276,0.1609618633765455,0.14307193432693568,0.1776679414584919,0.1430799350374947,0.13652117477913997,0.13519936120469803,0.13652628497369562,0.1352025638214785,0.1362472894069774,0.1351413733213432,0.13625258232001,0.13514511300245063,0.17749555316245005,0.13639473346780498,0.14147386349195348,0.13639473346780498,0.14147386349195348,0.13639473346780498,0.1414832585809287,0.13639473346780498,0.1414832585809287,0.13889005120177395,0.13699545341304542,0.13889394154176893,0.13699800296089779,0.1382301783868862,0.13699544965140736,0.13823405269759173,0.13699800002390924,0.13847892884500598,0.14259694869173187,0.13847892884500598,0.14259694869173187,0.13847892884500598,0.14276824507852487,0.13847892884500598,0.14276824507852487,0.13642116880723823,0.13515083445800857,0.14662664779470036,0.13515332070257377,0.13625429261718444,0.13511013075282818,0.1461047956390991,0.13511649942208231,0.16161366422945275,0.14147100314959776,0.17857895484983877,0.14147373729024276,0.1609618633765455,0.14307193432693568,0.1776679414584919,0.1430799350374947,0.13834571660669864,0.1427682389837539,0.13834571660669864,0.1427682389837539,0.13847892884500598,0.14276824507852487,0.13847892884500598,0.14276824507852487,0.1609618633765455,0.1414843885744818,0.1776679414584919,0.14149009293680587,0.1609618633765455,0.14307193432693568,0.1776679414584919,0.1430799350374947
JCP2022_064022,2208.0,0.33855466350797736,0.5303223234736931,0.4944195265294386,0.3408240462863191,0.4944195265294386,0.3408240462863191,0.49123709848813407,0.3395432725098415,0.49123709848813407,0.3395432725098415,0.47651188653716214,0.5064492684968762,0.33804657937596155,0.5064492684968762,0.33804657937596155,0.5059403944818445,0.33804654614099183,0.5059403944818445,0.33804654614099183,0.4879696866734192,0.565947555179625,0.33910845191433237,0.5577924702606568,0.33909400653882127,0.5705502250055411,0.35040010452398734,0.5623659886999303,0.35039753353097103,0.49072019261801525,0.3349013357608316,0.49072449560529546,0.33490337137347215,0.49557871852558566,0.34382818509294544,0.4955848632923054,0.3438292785476466,0.5303223234736931,0.49123709848813407,0.3379545668400799,0.49123709848813407,0.3379545668400799,0.49123709848813407,0.3395432725098415,0.49123709848813407,0.3395432725098415,0.5082326948159797,0.33985567988962523,0.5082326485315996,0.3398574746579638,0.5078344375251256,0.3398556581026332,0.5078353802438955,0.3398574683595927,0.5059403944818445,0.3380958686286135,0.5059403944818445,0.3380958686286135,0.5059403944818445,0.33804654614099183,0.5059403944818445,0.33804654614099183,0.4919967622820809,0.33331176245138144,0.5111155661413549,0.3332961927773656,0.4971824664938155,0.3424612560246812,0.5156634947546892,0.3424555474787544,0.565947555179625,0.33910845191433237,0.5577924702606568,0.33909400653882127,0.5705502250055411,0.35040010452398734,0.5623659886999303,0.35039753353097103,0.5064492684968762,0.33804657937596155,0.5064492684968762,0.33804657937596155,0.5059403944818445,0.33804654614099183,0.5059403944818445,0.33804654614099183,0.5705502250055411,0.34138524197328945,0.5623659886999303,0.3413778142444131,0.5705502250055411,0.35040010452398734,0.5623659886999303,0.35039753353097103
JCP2022_085227,2100.0,0.202995694256935,0.18062486744326792,0.13091244923640455,0.13657139731830356,0.13091244923640455,0.13657139731830356,0.131037590841834,0.13645807149604539,0.131037590841834,0.13645807149604539,0.14157315251675925,0.13275803213392431,0.13753580129856863,0.13275803213392431,0.13753580129856863,0.1328760270158492,0.1375357929278176,0.1328760270158492,0.1375357929278176,0.14169068675954283,0.15722236162986952,0.13685938112060997,0.17435789736155957,0.13686694443367198,0.15612649273503365,0.13815192055314446,0.1729825924062206,0.13816005024044442,0.13118301063730312,0.1296672371564401,0.1311892624686274,0.12967064802201284,0.13071062554886514,0.12948358848106792,0.130715861120936,0.1294880046339116,0.18062486744326792,0.131037590841834,0.1365299054972041,0.131037590841834,0.1365299054972041,0.131037590841834,0.13645807149604539,0.131037590841834,0.13645807149604539,0.133164076241513,0.13089980841236212,0.13316879726088862,0.13090242772103958,0.13256563986316536,0.1308998315991002,0.13257010783640552,0.13090242888602166,0.1328760270158492,0.1373604240591868,0.1328760270158492,0.1373604240591868,0.1328760270158492,0.1375357929278176,0.1328760270158492,0.1375357929278176,0.1310614907959788,0.1296923467385048,0.14135810539690685,0.1296979965461545,0.13063513779003316,0.1295041369983189,0.14058696337508456,0.12951078503728128,0.15722236162986952,0.13685938112060997,0.17435789736155957,0.13686694443367198,0.15612649273503365,0.13815192055314446,0.1729825924062206,0.13816005024044442,0.13275803213392431,0.13753580129856863,0.13275803213392431,0.13753580129856863,0.1328760270158492,0.1375357929278176,0.1328760270158492,0.1375357929278176,0.15612649273503365,0.13654440827521389,0.1729825924062206,0.13655111986596097,0.15612649273503365,0.13815192055314446,0.1729825924062206,0.13816005024044442
Mean mAP,2106.75,0.316468692761337,0.44801854946884706,0.4329692844769143,0.30292001860182444,0.4329692844769143,0.30292001860182444,0.4312030670740987,0.30190341218821537,0.4312030670740987,0.30190341218821537,0.4110451047333723,0.43795459963849437,0.303358986125257,0.43795459963849437,0.303358986125257,0.43768158225230935,0.3033589869059863,0.43768158225230935,0.3033589869059863,0.41296362603700404,0.47149794082598534,0.3016227861416685,0.47278347109506047,0.30161483430662295,0.4715732648008799,0.3125571782120135,0.472510713812913,0.31255355266112794,0.4316952535828481,0.30137756193589443,0.4316944817746071,0.3013758118837488,0.43194424387126074,0.3099573491100989,0.4319435489496111,0.30995524488703485,0.44801854946884706,0.4312030670740987,0.30124908691439123,0.4312030670740987,0.30124908691439123,0.4312030670740987,0.30190341218821537,0.4312030670740987,0.30190341218821537,0.4380368351433425,0.30664032495592186,0.4380341115342847,0.3066379809760882,0.43741640259090697,0.30664031853571994,0.4374138740006216,0.30663797439378215,0.43768158225230935,0.3031342018450823,0.43768158225230935,0.3031342018450823,0.43768158225230935,0.3033589869059863,0.43768158225230935,0.3033589869059863,0.4316330829039879,0.30004676476526615,0.44286388129678306,0.3000357152983997,0.4321851349916633,0.30874996379375774,0.4426465372911209,0.30874332665555604,0.47149794082598534,0.3016227861416685,0.47278347109506047,0.30161483430662295,0.4715732648008799,0.3125571782120135,0.472510713812913,0.31255355266112794,0.43795459963849437,0.303358986125257,0.43795459963849437,0.303358986125257,0.43768158225230935,0.3033589869059863,0.43768158225230935,0.3033589869059863,0.4715732648008799,0.3016924188152737,0.472510713812913,0.30168885386539857,0.4715732648008799,0.3125571782120135,0.472510713812913,0.31255355266112794
