Label,Number of Queries,mAP (Raw),mAP (Int),mAP (Res01),mAP (Res11)
source_11,64.0,0.829899906992305,0.185241069078303,0.47139111441785353,0.13774625507350433
source_8,64.0,0.7458628146414978,0.20953881628928878,0.525228453033177,0.15386989653577057
source_9,240.0,0.9117962455506972,0.6974263994187025,0.8453823406119761,0.9621244123255704
Mean mAP,122.66666666666667,0.8291863223948334,0.36406876159543144,0.6140006360210023,0.41791352131161513
