Label,Number of Queries,mAP (Raw),mAP (Int),mAP (Res01),mAP (Res11)
JCP2022_012818,24.0,0.36951315620541636,0.38220665304903384,0.3739403145949835,0.24237787787146226
JCP2022_025848,24.0,0.2218310989052595,0.2075750841340461,0.25828313735194186,0.20228075495068099
JCP2022_035095,8.0,0.2606744907678001,0.23659914860464346,0.2709720799024075,0.09728848268969045
JCP2022_037716,24.0,0.32662506930449525,0.42744002486632127,0.34726533203184645,0.2251090360382626
JCP2022_046054,24.0,0.28115765803574505,0.26283431915630523,0.3140193903367382,0.27128866387929235
JCP2022_050797,24.0,0.20280076635736347,0.20078326579151795,0.20648276713878314,0.20811780852493966
JCP2022_064022,24.0,0.3367866702455274,0.5134135131588952,0.39024230395488835,0.4754177933729214
JCP2022_085227,24.0,0.23096152422975205,0.24233656288079386,0.2635251182950023,0.22666899834681228
Mean mAP,22.0,0.27879380425641986,0.3091485714551946,0.3030913054508239,0.24356867695925777
