Label,Number of Queries,mAP (Embeddings_Raw),mAP (Embeddings_Raw__Int),mAP (Embeddings_Raw__ZCA_N_C),mAP (Embeddings_Raw__ZCA_N),mAP (Embeddings_Raw__ZCA_C),mAP (Embeddings_Raw__ZCA),mAP (Embeddings_Raw__ZCA-cor_N_C),mAP (Embeddings_Raw__ZCA-cor_N),mAP (Embeddings_Raw__ZCA-cor_C),mAP (Embeddings_Raw__ZCA-cor),mAP (Embeddings_Raw__rZMs_C),mAP (Embeddings_Raw__Int__ZCA_N_C),mAP (Embeddings_Raw__Int__ZCA_N),mAP (Embeddings_Raw__Int__ZCA_C),mAP (Embeddings_Raw__Int__ZCA),mAP (Embeddings_Raw__Int__ZCA-cor_N_C),mAP (Embeddings_Raw__Int__ZCA-cor_N),mAP (Embeddings_Raw__Int__ZCA-cor_C),mAP (Embeddings_Raw__Int__ZCA-cor),mAP (Embeddings_Raw__Int__rZMs_C),mAP (Embeddings_Raw__ZCA_N_C__Int),mAP (Embeddings_Raw__ZCA_N__Int),mAP (Embeddings_Raw__ZCA_C__Int),mAP (Embeddings_Raw__ZCA__Int),mAP (Embeddings_Raw__ZCA-cor_N_C__Int),mAP (Embeddings_Raw__ZCA-cor_N__Int),mAP (Embeddings_Raw__ZCA-cor_C__Int),mAP (Embeddings_Raw__ZCA-cor__Int),mAP (Embeddings_Raw__ZCA_N_C__rZMs_C),mAP (Embeddings_Raw__ZCA_N__rZMs_C),mAP (Embeddings_Raw__ZCA_C__rZMs_C),mAP (Embeddings_Raw__ZCA__rZMs_C),mAP (Embeddings_Raw__ZCA-cor_N_C__rZMs_C),mAP (Embeddings_Raw__ZCA-cor_N__rZMs_C),mAP (Embeddings_Raw__ZCA-cor_C__rZMs_C),mAP (Embeddings_Raw__ZCA-cor__rZMs_C),mAP (Embeddings_Raw__rZMs_C__Int),mAP (Embeddings_Raw__rZMs_C__ZCA_N_C),mAP (Embeddings_Raw__rZMs_C__ZCA_N),mAP (Embeddings_Raw__rZMs_C__ZCA_C),mAP (Embeddings_Raw__rZMs_C__ZCA),mAP (Embeddings_Raw__rZMs_C__ZCA-cor_N_C),mAP (Embeddings_Raw__rZMs_C__ZCA-cor_N),mAP (Embeddings_Raw__rZMs_C__ZCA-cor_C),mAP (Embeddings_Raw__rZMs_C__ZCA-cor),mAP (Embeddings_Raw__Int__ZCA_N_C__rZMs_C),mAP (Embeddings_Raw__Int__ZCA_N__rZMs_C),mAP (Embeddings_Raw__Int__ZCA_C__rZMs_C),mAP (Embeddings_Raw__Int__ZCA__rZMs_C),mAP (Embeddings_Raw__Int__ZCA-cor_N_C__rZMs_C),mAP (Embeddings_Raw__Int__ZCA-cor_N__rZMs_C),mAP (Embeddings_Raw__Int__ZCA-cor_C__rZMs_C),mAP (Embeddings_Raw__Int__ZCA-cor__rZMs_C),mAP (Embeddings_Raw__Int__rZMs_C__ZCA_N_C),mAP (Embeddings_Raw__Int__rZMs_C__ZCA_N),mAP (Embeddings_Raw__Int__rZMs_C__ZCA_C),mAP (Embeddings_Raw__Int__rZMs_C__ZCA),mAP (Embeddings_Raw__Int__rZMs_C__ZCA-cor_N_C),mAP (Embeddings_Raw__Int__rZMs_C__ZCA-cor_N),mAP (Embeddings_Raw__Int__rZMs_C__ZCA-cor_C),mAP (Embeddings_Raw__Int__rZMs_C__ZCA-cor),mAP (Embeddings_Raw__ZCA_N_C__Int__rZMs_C),mAP (Embeddings_Raw__ZCA_N__Int__rZMs_C),mAP (Embeddings_Raw__ZCA_C__Int__rZMs_C),mAP (Embeddings_Raw__ZCA__Int__rZMs_C),mAP (Embeddings_Raw__ZCA-cor_N_C__Int__rZMs_C),mAP (Embeddings_Raw__ZCA-cor_N__Int__rZMs_C),mAP (Embeddings_Raw__ZCA-cor_C__Int__rZMs_C),mAP (Embeddings_Raw__ZCA-cor__Int__rZMs_C),mAP (Embeddings_Raw__ZCA_N_C__rZMs_C__Int),mAP (Embeddings_Raw__ZCA_N__rZMs_C__Int),mAP (Embeddings_Raw__ZCA_C__rZMs_C__Int),mAP (Embeddings_Raw__ZCA__rZMs_C__Int),mAP (Embeddings_Raw__ZCA-cor_N_C__rZMs_C__Int),mAP (Embeddings_Raw__ZCA-cor_N__rZMs_C__Int),mAP (Embeddings_Raw__ZCA-cor_C__rZMs_C__Int),mAP (Embeddings_Raw__ZCA-cor__rZMs_C__Int),mAP (Embeddings_Raw__rZMs_C__Int__ZCA_N_C),mAP (Embeddings_Raw__rZMs_C__Int__ZCA_N),mAP (Embeddings_Raw__rZMs_C__Int__ZCA_C),mAP (Embeddings_Raw__rZMs_C__Int__ZCA),mAP (Embeddings_Raw__rZMs_C__Int__ZCA-cor_N_C),mAP (Embeddings_Raw__rZMs_C__Int__ZCA-cor_N),mAP (Embeddings_Raw__rZMs_C__Int__ZCA-cor_C),mAP (Embeddings_Raw__rZMs_C__Int__ZCA-cor),mAP (Embeddings_Raw__rZMs_C__ZCA_N_C__Int),mAP (Embeddings_Raw__rZMs_C__ZCA_N__Int),mAP (Embeddings_Raw__rZMs_C__ZCA_C__Int),mAP (Embeddings_Raw__rZMs_C__ZCA__Int),mAP (Embeddings_Raw__rZMs_C__ZCA-cor_N_C__Int),mAP (Embeddings_Raw__rZMs_C__ZCA-cor_N__Int),mAP (Embeddings_Raw__rZMs_C__ZCA-cor_C__Int),mAP (Embeddings_Raw__rZMs_C__ZCA-cor__Int)
JCP2022_012818,2202.0,0.23254306250639853,0.3319467204414685,0.28935343397684243,0.2140203486428532,0.28935343397684243,0.2140203486428532,0.28689812644540447,0.2133811674725031,0.28689812644540447,0.2133811674725031,0.3123665618786346,0.2936784238331102,0.21762085012995752,0.2936784238331102,0.21762085012995752,0.29329668505109896,0.21762081216656343,0.29329668505109896,0.21762081216656343,0.3169156809319831,0.31141892714289043,0.20924083743556063,0.3080965705804117,0.20924088885627054,0.3110284811665806,0.23297530443725056,0.3084322912114577,0.23297287006710457,0.28958597943882525,0.20787391862720242,0.2895837401262233,0.2078754554895889,0.28818283133175243,0.22944165611212838,0.2881808487613463,0.22944234260545976,0.3319467204414685,0.28689812644540447,0.21258831964818703,0.28689812644540447,0.21258831964818703,0.28689812644540447,0.2133811674725031,0.28689812644540447,0.2133811674725031,0.2924566383959803,0.21563614154148839,0.2924593679535207,0.21563976263380896,0.2904581882736882,0.2156361836598315,0.29045902488932124,0.2156397264222146,0.29329668505109896,0.2179465650452118,0.29329668505109896,0.2179465650452118,0.29329668505109896,0.21762081216656343,0.29329668505109896,0.21762081216656343,0.28909860072268107,0.20754321181526492,0.2941031217154737,0.2075453573411432,0.2878784016470553,0.22934723633515794,0.29297329326991817,0.22934585069725888,0.31141892714289043,0.20924083743556063,0.3080965705804117,0.20924088885627054,0.3110284811665806,0.23297530443725056,0.3084322912114577,0.23297287006710457,0.2936784238331102,0.21762085012995752,0.2936784238331102,0.21762085012995752,0.29329668505109896,0.21762081216656343,0.29329668505109896,0.21762081216656343,0.3110284811665806,0.21692421253916488,0.3084322912114577,0.2169229932891169,0.3110284811665806,0.23297530443725056,0.3084322912114577,0.23297287006710457
JCP2022_025848,2211.0,0.20014539352598307,0.21854049039460477,0.18611522560936858,0.18137261744069383,0.18611522560936858,0.18137261744069383,0.18415907678227283,0.1775753231181862,0.18415907678227283,0.1775753231181862,0.19197310567845569,0.18973743806058033,0.18698307620192983,0.18973743806058033,0.18698307620192983,0.1896195455136955,0.18698301979058704,0.1896195455136955,0.18698301979058704,0.18972365702327734,0.19715218273299098,0.1770199453907772,0.2039481135455878,0.17702279146062597,0.20195064374414431,0.18386982349546546,0.2092977630882149,0.1838743492751736,0.1791965266168951,0.17176636288104083,0.1791966988266967,0.17176803589744977,0.1835916777196286,0.17112126104625142,0.18359231469990364,0.1711229908489374,0.21854049039460477,0.18415907678227283,0.17906703866569607,0.18415907678227283,0.17906703866569607,0.18415907678227283,0.1775753231181862,0.18415907678227283,0.1775753231181862,0.1905687954571732,0.18187206600654604,0.1905688134946473,0.1818725791103493,0.18786590451572716,0.1818720603416573,0.18786595048758828,0.18187260650438417,0.1896195455136955,0.18693268721244613,0.1896195455136955,0.18693268721244613,0.1896195455136955,0.18698301979058704,0.1896195455136955,0.18698301979058704,0.17890779300568863,0.17139862826549565,0.1860981661177448,0.17140099506302914,0.18330837950139123,0.1707880930478433,0.19038490315422937,0.17079167176555066,0.19715218273299098,0.1770199453907772,0.2039481135455878,0.17702279146062597,0.20195064374414431,0.18386982349546546,0.2092977630882149,0.1838743492751736,0.18973743806058033,0.18698307620192983,0.18973743806058033,0.18698307620192983,0.1896195455136955,0.18698301979058704,0.1896195455136955,0.18698301979058704,0.20195064374414431,0.18090894687070502,0.2092977630882149,0.1809098230992598,0.20195064374414431,0.18386982349546546,0.2092977630882149,0.1838743492751736
JCP2022_035095,1505.0,0.3056321429211811,0.6588686442034207,0.6774463786725845,0.5229285698906645,0.6774463786725845,0.5229285698906645,0.6761101955523717,0.5093424733839138,0.6761101955523717,0.5093424733839138,0.6691565887734658,0.7043300349463494,0.5119525524168049,0.7043300349463494,0.5119525524168049,0.7049778402752865,0.5119525822326607,0.7049778402752865,0.5119525822326607,0.6517375700869787,0.7183180039162532,0.4998460937206896,0.7049948231086441,0.499785448948194,0.7225826046860429,0.5565272838571901,0.7100173335588957,0.5565216324686775,0.6730577308074491,0.5243660059264003,0.6730471541804958,0.5243516794121421,0.6808050469660597,0.5668282444538157,0.6807926063390571,0.5668112316847727,0.6588686442034207,0.6761101955523717,0.5112244616313754,0.6761101955523717,0.5112244616313754,0.6761101955523717,0.5093424733839138,0.6761101955523717,0.5093424733839138,0.6972440913050125,0.5422568209463836,0.6972622477221536,0.542259554389034,0.6945940736660604,0.5422566797204242,0.6946123722935962,0.54225935087395,0.7049778402752865,0.5124981646694459,0.7049778402752865,0.5124981646694459,0.7049778402752865,0.5119525822326607,0.7049778402752865,0.5119525822326607,0.6710375547022125,0.5210233046005763,0.6768527248622609,0.5209551934512712,0.6794823646053325,0.564243997916856,0.6826238048598839,0.5642356319642523,0.7183180039162532,0.4998460937206896,0.7049948231086441,0.499785448948194,0.7225826046860429,0.5565272838571901,0.7100173335588957,0.5565216324686775,0.7043300349463494,0.5119525524168049,0.7043300349463494,0.5119525524168049,0.7049778402752865,0.5119525822326607,0.7049778402752865,0.5119525822326607,0.7225826046860429,0.5279649453030502,0.7100173335588957,0.5279629344712732,0.7225826046860429,0.5565272838571901,0.7100173335588957,0.5565216324686775
JCP2022_037716,2211.0,0.5319004230278391,0.8654441959299484,0.835750605066925,0.5603152882611911,0.835750605066925,0.5603152882611911,0.834135915190252,0.5515570203976708,0.834135915190252,0.5515570203976708,0.829240104654122,0.848124311869861,0.5624969594338116,0.848124311869861,0.5624969594338116,0.8498273668014001,0.5624968729525694,0.8498273668014001,0.5624968729525694,0.8344536935529413,0.8697790310554252,0.5231415854440888,0.8624008071863555,0.5230656913524789,0.8704072397564868,0.6060342122836688,0.8633112516382109,0.6060290814717835,0.829855889418481,0.5366671182489455,0.8298463484855497,0.5366513335385421,0.8306098072767139,0.5926347346115295,0.8306013509053309,0.5926251546145102,0.8654441959299484,0.834135915190252,0.5507368979450756,0.834135915190252,0.5507368979450756,0.834135915190252,0.5515570203976708,0.834135915190252,0.5515570203976708,0.8323700788317545,0.5539573829484014,0.8323706136038449,0.5539591048347228,0.8351729872127784,0.553957440439319,0.8351730782925704,0.5539590776184686,0.8498273668014001,0.5616965864579934,0.8498273668014001,0.5616965864579934,0.8498273668014001,0.5624968729525694,0.8498273668014001,0.5624968729525694,0.8269784793661678,0.5344729598734069,0.8316629350712255,0.5343938431536315,0.8284214497431583,0.5921527396725678,0.8330983491933797,0.5921407037992185,0.8697790310554252,0.5231415854440888,0.8624008071863555,0.5230656913524789,0.8704072397564868,0.6060342122836688,0.8633112516382109,0.6060290814717835,0.848124311869861,0.5624969594338116,0.848124311869861,0.5624969594338116,0.8498273668014001,0.5624968729525694,0.8498273668014001,0.5624968729525694,0.8704072397564868,0.5581059466294865,0.8633112516382109,0.5580717058450961,0.8704072397564868,0.6060342122836688,0.8633112516382109,0.6060290814717835
JCP2022_046054,2210.0,0.33425140197133113,0.6980438822050862,0.7729683456937675,0.5137131456832823,0.7729683456937675,0.5137131456832823,0.7730871066044825,0.49655968972408143,0.7730871066044825,0.49655968972408143,0.7013332272919498,0.77302400971501,0.4891700680167882,0.77302400971501,0.4891700680167882,0.773658786534438,0.48917006268961905,0.773658786534438,0.48917006268961905,0.6637552906363133,0.7948552562105163,0.43194431058575,0.7738988400464185,0.4318812065971263,0.8061414986630646,0.5107673323246205,0.7877505951381124,0.510723279312745,0.7554322486933329,0.4605294273408861,0.7554227952674648,0.4605029947111415,0.7679621960888596,0.5097950910380394,0.7679542521017033,0.5097770095479224,0.6980438822050862,0.7730871066044825,0.4996016072431749,0.7730871066044825,0.4996016072431749,0.7730871066044825,0.49655968972408143,0.7730871066044825,0.49655968972408143,0.7583153300370674,0.47898017994238007,0.7583143924240915,0.478976224722182,0.7619191712492093,0.4789802503409696,0.7619186440682977,0.478976202491155,0.773658786534438,0.48965613479355535,0.773658786534438,0.48965613479355535,0.773658786534438,0.48917006268961905,0.773658786534438,0.48917006268961905,0.7502755978679021,0.44921102512046895,0.7438422658091355,0.4491422416104458,0.7641122893026047,0.5075321168945071,0.757281046769512,0.5074829254628158,0.7948552562105163,0.43194431058575,0.7738988400464185,0.4318812065971263,0.8061414986630646,0.5107673323246205,0.7877505951381124,0.510723279312745,0.77302400971501,0.4891700680167882,0.77302400971501,0.4891700680167882,0.773658786534438,0.48917006268961905,0.773658786534438,0.48917006268961905,0.8061414986630646,0.4857673000877272,0.7877505951381124,0.48573828680465964,0.8061414986630646,0.5107673323246205,0.7877505951381124,0.510723279312745
JCP2022_050797,2207.0,0.19182945292219167,0.1771284501375994,0.13641450241837766,0.1434487294833819,0.13641450241837766,0.1434487294833819,0.13587299278446383,0.14272805899463856,0.13587299278446383,0.14272805899463856,0.1400170254708836,0.1374943368166903,0.145064504229645,0.1374943368166903,0.145064504229645,0.13749763890973882,0.14506443068698446,0.13749763890973882,0.14506443068698446,0.13657912344739825,0.15155149317783742,0.14227316398206707,0.16227249453583545,0.14227413466454716,0.15177213290710811,0.1483039481309261,0.16283590608221823,0.14830553430927865,0.1359606104017396,0.13548175102507262,0.1359635375905867,0.13548393957477567,0.13557382794782952,0.13518871542936428,0.13557592476557176,0.13519065056735025,0.1771284501375994,0.13587299278446383,0.1426950941905512,0.13587299278446383,0.1426950941905512,0.13587299278446383,0.14272805899463856,0.13587299278446383,0.14272805899463856,0.13762974340844902,0.13806343524584838,0.13763057931277659,0.13806351790194954,0.1373438864242545,0.13806338480765326,0.1373442824322489,0.13806355011920235,0.13749763890973882,0.14486313120727484,0.13749763890973882,0.14486313120727484,0.13749763890973882,0.14506443068698446,0.13749763890973882,0.14506443068698446,0.13579864858062854,0.13543654892936083,0.14195355140725346,0.1354363319572723,0.1354603910912104,0.13520538005800778,0.14170043973819646,0.1352063751853726,0.15155149317783742,0.14227316398206707,0.16227249453583545,0.14227413466454716,0.15177213290710811,0.1483039481309261,0.16283590608221823,0.14830553430927865,0.1374943368166903,0.145064504229645,0.1374943368166903,0.145064504229645,0.13749763890973882,0.14506443068698446,0.13749763890973882,0.14506443068698446,0.15177213290710811,0.1452016207016924,0.16283590608221823,0.14520059312286748,0.15177213290710811,0.1483039481309261,0.16283590608221823,0.14830553430927865
JCP2022_064022,2208.0,0.24205216077191768,0.43789196428903215,0.4780366535954701,0.307475711879412,0.4780366535954701,0.307475711879412,0.46685142287446374,0.2995569756731839,0.46685142287446374,0.2995569756731839,0.4101572772948433,0.4366335660787705,0.2968246496199641,0.4366335660787705,0.2968246496199641,0.4384214388371721,0.2968247219048813,0.4384214388371721,0.2968247219048813,0.40368165208678153,0.524562005668658,0.2995604314446206,0.5113635090180885,0.29955322886663216,0.5019308087650353,0.30164162952973333,0.4863305164805534,0.3016507802997114,0.482037617926129,0.2965152699887978,0.4820409605625041,0.2965215561167253,0.4640816496834083,0.2922783182962156,0.46408440952901175,0.29228355633683334,0.43789196428903215,0.46685142287446374,0.30188572030011623,0.46685142287446374,0.30188572030011623,0.46685142287446374,0.2995569756731839,0.46685142287446374,0.2995569756731839,0.43250463850594434,0.29306226852071193,0.4325248951436729,0.29307939153121754,0.42776850539597894,0.29306223183377844,0.42778910388187763,0.2930792989110071,0.4384214388371721,0.29759099049297405,0.4384214388371721,0.29759099049297405,0.4384214388371721,0.2968247219048813,0.4384214388371721,0.2968247219048813,0.4806509310666634,0.29512446524753266,0.4808669853443565,0.2951165828080005,0.46307328941910814,0.29095670920794464,0.45869308724892893,0.29096691234126876,0.524562005668658,0.2995604314446206,0.5113635090180885,0.29955322886663216,0.5019308087650353,0.30164162952973333,0.4863305164805534,0.3016507802997114,0.4366335660787705,0.2968246496199641,0.4366335660787705,0.2968246496199641,0.4384214388371721,0.2968247219048813,0.4384214388371721,0.2968247219048813,0.5019308087650353,0.2979676318473775,0.4863305164805534,0.29797633264240436,0.5019308087650353,0.30164162952973333,0.4863305164805534,0.3016507802997114
JCP2022_085227,2100.0,0.19376503087730468,0.19714294064434315,0.13206281015880425,0.14144606786298985,0.13206281015880425,0.14144606786298985,0.13230492229727492,0.1404886092967235,0.13230492229727492,0.1404886092967235,0.15303389428767974,0.13490042231243962,0.14410273585779168,0.13490042231243962,0.14410273585779168,0.13473908534162352,0.1441027932237106,0.13473908534162352,0.1441027932237106,0.1494520877652854,0.15043284634268944,0.14002178020291497,0.16305454650185683,0.14002648107557938,0.15027877561674094,0.14520425476940546,0.16307256373712917,0.14520959111208845,0.13248838686063,0.13207682860328496,0.1324918644269945,0.13207976595312299,0.13163221697589952,0.1310825082735989,0.13163567661305095,0.1310850071203159,0.19714294064434315,0.13230492229727492,0.14059692065882795,0.13230492229727492,0.14059692065882795,0.13230492229727492,0.1404886092967235,0.13230492229727492,0.1404886092967235,0.13469563055475417,0.13522713926610655,0.13469609867636148,0.13522854701479026,0.1342788223947133,0.13522714792334392,0.13427986691131083,0.13522850299574057,0.13473908534162352,0.14379761130398766,0.13473908534162352,0.14379761130398766,0.13473908534162352,0.1441027932237106,0.13473908534162352,0.1441027932237106,0.13233067664287648,0.13198781683740468,0.13912809527055772,0.1319915201138731,0.13157631891866914,0.13107074687731923,0.13832779192508118,0.13107455486465613,0.15043284634268944,0.14002178020291497,0.16305454650185683,0.14002648107557938,0.15027877561674094,0.14520425476940546,0.16307256373712917,0.14520959111208845,0.13490042231243962,0.14410273585779168,0.13490042231243962,0.14410273585779168,0.13473908534162352,0.1441027932237106,0.13473908534162352,0.1441027932237106,0.15027877561674094,0.1426643499995063,0.16307256373712917,0.1426661782327996,0.15027877561674094,0.14520425476940546,0.16307256373712917,0.14520959111208845
Mean mAP,2106.75,0.2790148835655184,0.44812591103068794,0.43851849439901747,0.3230900598930586,0.43851849439901747,0.3230900598930586,0.43617746981637323,0.3163986647576127,0.43617746981637323,0.3163986647576127,0.4259097231662543,0.4397403179541014,0.3192769244883366,0.4397403179541014,0.3192769244883366,0.4402547984080567,0.319276911955947,0.4402547984080567,0.319276911955947,0.4182873444413699,0.46475871828090765,0.3028810185258086,0.46125371306539975,0.3028562339776818,0.4645115231631504,0.3356654736035325,0.46138102761684907,0.3356608897895703,0.43470187377043523,0.3081595853302038,0.43469913743331445,0.30815434508668604,0.435304906748769,0.32854631615761787,0.435302172964372,0.32854224291576273,0.44812591103068794,0.43617746981637323,0.31729950753537556,0.43617746981637323,0.31729950753537556,0.43617746981637323,0.3163986647576127,0.43617746981637323,0.3163986647576127,0.4344731183120169,0.3173819293022333,0.4344783760413836,0.3173848352672568,0.4336751923915513,0.31738192238337215,0.43368029040710143,0.3173847894920153,0.4402547984080567,0.31937273389786114,0.4402547984080567,0.31937273389786114,0.4402547984080567,0.319276911955947,0.4402547984080567,0.319276911955947,0.43313478524435256,0.3057747450861889,0.436813480699751,0.30574775818733335,0.4341641105285662,0.32766212750127544,0.4368853395198912,0.3276555782600492,0.46475871828090765,0.3028810185258086,0.46125371306539975,0.3028562339776818,0.4645115231631504,0.3356654736035325,0.46138102761684907,0.3356608897895703,0.4397403179541014,0.3192769244883366,0.4397403179541014,0.3192769244883366,0.4402547984080567,0.319276911955947,0.4402547984080567,0.319276911955947,0.4645115231631504,0.3194381192473387,0.46138102761684907,0.3194311059384346,0.4645115231631504,0.3356654736035325,0.46138102761684907,0.3356608897895703
