Scaffold,n_Scaffold,ClusterCount,IntraTanimoto,IntraCosine,InterTanimoto,InterCosine,TanimotoDifference,CosineDifference,Selected_Scaffold
C(=C(c1ccccc1)c1ccccc1)c1ccccc1,8,2,0.41866681007060824,0.2635170496901785,0.4102622934778793,-0.12120142176235402,0.00840451659272895,0.38471847145253246,True
C(=Cc1ccccc1)c1ccccc1,11,2,0.2640413955890933,0.36561094871426686,0.2091301771940898,-0.07631841880776526,0.054911218395003486,0.4419293675220321,True
C(=Cc1nc2ccccc2[nH]1)c1ccccc1,7,2,0.31571819567155623,0.33282009127586343,0.23627571039161743,-0.17733315910110733,0.0794424852799388,0.5101532503769708,True
C(=NCC1CCOC1)c1ccccc1,11,2,0.47395547084394263,0.05065856266527402,0.4975578004819733,-0.00942897989853384,-0.02360232963803066,0.06008754256380786,False
C(=NCCCn1cnc2cccnc21)Nc1ccccc1,11,2,0.6895641856439623,0.05809427614032521,0.6925984495400013,-0.032766043483129524,-0.0030342638960390023,0.09086031962345473,False
C(=NCCN1CCOCC1)c1ccccc1,7,2,0.49169775391597936,0.09193935834354197,0.5094882748221162,-0.027435418142146468,-0.017790520906136864,0.11937477648568844,False
C(=NCCOc1ccc(-c2ccccc2)nn1)c1ccccc1,19,2,0.5978340934586754,0.06916970272061054,0.6051231605784967,-0.021255098110120097,-0.0072890671198212464,0.09042480083073064,False
C(=NCCc1ccccc1)c1ccccc1,23,2,0.3045057852858619,0.0369344826325618,0.3024727033989793,-0.025827660641317928,0.002033081886882615,0.06276214327387973,False
C(=NCCc1csc(-c2ccccc2)n1)c1ccccc1,9,2,0.586050679097766,0.1569512386600442,0.6153320835162355,0.061061894154143384,-0.029281404418469492,0.09588934450590082,False
C(=NCCc1nc2ccccc2[nH]1)c1ccccc1,10,2,0.3744216867704333,0.05862677792939679,0.4187707301386149,-0.01846427581514364,-0.04434904336818157,0.07709105374454042,False
C(=NCc1ccccc1)NCc1ccccc1,9,2,0.3071108456345071,0.07055948227751846,0.34934470206923296,-0.07335177357596237,-0.04223385643472588,0.14391125585348083,False
C(=NCc1ccccc1)Nc1ccccc1,30,2,0.3028333361967209,0.12350982413769471,0.28605444405199604,0.03138490971530688,0.01677889214472489,0.09212491442238782,False
C(=NCc1ccccc1)c1cccnc1,10,2,0.23329600157381788,0.05136025041324031,0.2529689361821838,-0.04869171613008185,-0.019672934608365916,0.10005196654332216,False
C(=NCc1ccccc1)c1conc1-c1ccccc1,9,2,0.5622764678227117,0.09120201279718898,0.624578287142367,-0.031443323892246765,-0.06230181931965528,0.12264533668943575,False
C(=NCc1ccccn1)C1CC2(CCNCC2)CN1,7,2,0.6951210690710871,0.06924480529756558,0.7217976624899541,0.04124917331858547,-0.02667659341886708,0.027995631978980105,False
C(=NCc1cn(Cc2ccccc2)nc1-c1ccccc1)c1ccccc1,10,2,0.6267884120798088,0.21810914012104712,0.637787690869554,-0.011239955157187141,-0.01099927878974516,0.22934909527823427,True
C(=NCc1cn[nH]c1)Nc1ccccc1,18,2,0.37012346080334896,0.055026452821160046,0.34259173148003746,-0.04128765350606457,0.027531729323311493,0.09631410632722462,False
C(=Nc1c(-c2ccccc2)n[nH]c1C1CC1)c1ccccc1,10,2,0.5834109988532707,0.08735064130203406,0.5815620189943617,-0.02048989904010023,0.0018489798589090833,0.10784054034213429,False
C(=Nc1c[nH]nc1-c1cccs1)c1ccccc1,10,2,0.6024784410042983,0.06077496107263461,0.5951403513915847,-0.0057524747258051595,0.007338089612713539,0.06652743579843977,False
C(=Nc1ccc2[nH]c(CN3CCNCC3)nc2c1)c1ccccc1,16,2,0.6091662501250374,0.42214154458082864,0.5924219689199336,-0.03799096676781812,0.01674428120510385,0.46013251134864674,True
C(=Nc1ccc2c(c1)OCCO2)c1ccccc1,9,2,0.432239077472803,0.0974109980120208,0.39880962912392104,-0.06533886596072352,0.03342944834888195,0.16274986397274432,False
C(=Nc1ccc2oc(-c3ccccc3)nc2c1)c1ccccc1,10,2,0.5378220529742935,0.33576271558662096,0.46527660592151837,0.12768818647358104,0.07254544705277516,0.20807452911303992,True
C(=Nc1ccccc1)C1C=Nc2ncccc2O1,11,2,0.638492535711545,0.052928088444586414,0.6507199174197285,-0.016079059235313,-0.012227381708183493,0.06900714767989942,False
C(=Nc1ccccc1)C1CC(c2ccccc2)=NO1,8,2,0.4695122834923189,0.07887138773821269,0.4470013998597021,-0.051058179751356035,0.022510883632616774,0.12992956748956871,False
C(=Nc1ccccc1)C1CCCCC1,12,2,0.32485686349409076,0.09813711069168025,0.30948403693253945,0.007243140917621146,0.015372826561551312,0.09089396977405911,False
C(=Nc1ccccc1)C1CCN(c2cc(-c3ccccc3)ncn2)CC1,17,2,0.6625359132258222,0.1932508180679729,0.6325489350651448,0.02261969925942759,0.029986978160677413,0.1706311188085453,False
C(=Nc1ccccc1)C1COc2ccccc2O1,10,2,0.5584234064801815,0.12092683718712521,0.540475966009418,-0.0357158939890484,0.017947440470763465,0.1566427311761736,False
C(=Nc1ccccc1)N1CCC(c2nc3ccccc3[nH]2)CC1,12,2,0.7184027172812474,0.09175151489606924,0.686643836219571,-0.0014815793136513378,0.03175888106167635,0.09323309420972058,False
C(=Nc1ccccc1)N1CCC2(CC1)CNCC2c1nnco1,11,2,0.6664292181134857,0.0865957462942541,0.6609693612543436,-0.029536511478511385,0.005459856859142076,0.11613225777276548,False
