UMAP1,UMAP2,Metadata_Source,Metadata_JCP2022
-11.717573,3.763496,source_6,JCP2022_012818
10.730388,4.297487,source_11,JCP2022_046054
-21.458086,9.644748,source_5,JCP2022_064022
-18.46393,4.402737,source_2,JCP2022_035095
1.816717,2.357519,source_3,JCP2022_085227
-26.56397,9.271472,source_10,JCP2022_037716
11.121393,5.1022525,source_11,JCP2022_035095
-27.184187,9.62428,source_10,JCP2022_012818
-21.684582,10.050571,source_5,JCP2022_085227
-27.689512,10.228397,source_8,JCP2022_012818
-17.944693,4.0443068,source_2,JCP2022_046054
-11.974644,3.9835913,source_6,JCP2022_025848
-17.989086,4.6945963,source_2,JCP2022_035095
-14.808246,0.3387159,source_6,JCP2022_012818
4.0094137,4.1020846,source_3,JCP2022_085227
1.2654729,2.0268908,source_3,JCP2022_085227
-27.258457,9.72419,source_10,JCP2022_012818
-15.598764,0.015319999,source_6,JCP2022_064022
-16.160236,0.048589233,source_6,JCP2022_064022
-26.504799,9.095284,source_10,JCP2022_064022
-25.672459,11.151081,source_8,JCP2022_050797
1.2849187,1.9923935,source_3,JCP2022_050797
-18.056082,4.588416,source_2,JCP2022_025848
-17.832613,3.8924227,source_2,JCP2022_046054
-12.071692,4.0684376,source_6,JCP2022_025848
11.40541,3.7976594,source_11,JCP2022_025848
-25.306936,10.714177,source_8,JCP2022_085227
-19.701773,8.575059,source_5,JCP2022_050797
-27.346296,9.762439,source_10,JCP2022_012818
3.1833,3.1109934,source_3,JCP2022_012818
-19.513931,3.6783178,source_2,JCP2022_012818
-21.841726,9.823448,source_5,JCP2022_012818
-15.845372,0.02583282,source_6,JCP2022_064022
10.5788965,3.9654212,source_11,JCP2022_025848
4.521181,3.9425063,source_3,JCP2022_050797
-17.74204,4.581768,source_2,JCP2022_050797
1.284502,2.0181077,source_3,JCP2022_050797
-22.221388,10.163125,source_5,JCP2022_064022
-25.316977,7.925071,source_10,JCP2022_050797
4.463357,4.00399,source_3,JCP2022_012818
