UMAP1,UMAP2,Metadata_Source,Metadata_JCP2022
28.029894,-9.759561,source_11,JCP2022_046054
26.62037,-10.056167,source_5,JCP2022_064022
25.030672,-6.356725,source_2,JCP2022_035095
24.438408,-9.705119,source_3,JCP2022_085227
21.881216,-10.018534,source_10,JCP2022_037716
26.417435,-7.9202614,source_11,JCP2022_035095
23.834726,-11.464324,source_10,JCP2022_012818
26.015413,-11.296003,source_5,JCP2022_085227
24.83886,-11.674592,source_8,JCP2022_012818
28.411093,-9.326216,source_2,JCP2022_046054
26.275583,-8.069346,source_6,JCP2022_025848
25.21948,-6.3578463,source_2,JCP2022_035095
26.084633,-8.663897,source_6,JCP2022_012818
24.53971,-10.963343,source_3,JCP2022_085227
26.832003,-9.295437,source_3,JCP2022_085227
23.948639,-11.577551,source_10,JCP2022_012818
25.473412,-11.096825,source_6,JCP2022_064022
25.644428,-11.19333,source_6,JCP2022_064022
25.729528,-11.237186,source_10,JCP2022_064022
25.867834,-9.742808,source_8,JCP2022_050797
24.993982,-7.8125362,source_3,JCP2022_050797
25.093452,-6.9882617,source_2,JCP2022_025848
28.547813,-9.15541,source_2,JCP2022_046054
25.954067,-7.293601,source_6,JCP2022_025848
25.23356,-8.131391,source_11,JCP2022_025848
25.076614,-11.066303,source_8,JCP2022_085227
25.911085,-9.287049,source_5,JCP2022_050797
24.083548,-11.695057,source_10,JCP2022_012818
24.02881,-10.975635,source_3,JCP2022_012818
24.119501,-11.213131,source_2,JCP2022_012818
24.913633,-9.30935,source_5,JCP2022_012818
26.090782,-10.936104,source_6,JCP2022_064022
27.81453,-9.87794,source_11,JCP2022_025848
24.87881,-7.8485146,source_3,JCP2022_050797
25.807814,-8.9004,source_2,JCP2022_050797
25.500137,-8.527335,source_3,JCP2022_050797
25.934015,-11.439452,source_5,JCP2022_064022
24.972244,-8.611715,source_10,JCP2022_050797
25.054052,-10.091519,source_3,JCP2022_012818
28.195454,-8.541397,source_5,JCP2022_046054
25.488745,-8.490469,source_2,JCP2022_050797
21.363,-10.140586,source_5,JCP2022_037716
21.719526,-10.678598,source_6,JCP2022_037716
27.274431,-9.128262,source_3,JCP2022_046054
24.995749,-9.003846,source_2,JCP2022_085227
25.632864,-11.756358,source_2,JCP2022_064022
21.818756,-10.280723,source_8,JCP2022_037716
27.9136,-9.085382,source_10,JCP2022_046054
23.883383,-9.239782,source_2,JCP2022_025848
28.253094,-9.57188,source_3,JCP2022_046054
26.136793,-11.612535,source_2,JCP2022_064022
24.332624,-8.968765,source_8,JCP2022_025848
26.324045,-10.669696,source_6,JCP2022_064022
24.210014,-10.753583,source_2,JCP2022_025848
24.992249,-6.225735,source_2,JCP2022_035095
28.014336,-9.418525,source_3,JCP2022_046054
24.069212,-9.491241,source_11,JCP2022_085227
25.686422,-11.694198,source_2,JCP2022_064022
26.420874,-11.097118,source_10,JCP2022_064022
26.051994,-7.0784106,source_6,JCP2022_035095
23.593166,-11.003894,source_10,JCP2022_050797
24.826641,-7.8324003,source_6,JCP2022_025848
26.348427,-9.509652,source_11,JCP2022_012818
25.786058,-10.204091,source_11,JCP2022_025848
27.800816,-9.307984,source_8,JCP2022_046054
24.26698,-10.886142,source_2,JCP2022_050797
25.230976,-8.536865,source_5,JCP2022_025848
25.955692,-11.741325,source_3,JCP2022_064022
26.05341,-7.6688423,source_3,JCP2022_025848
25.305302,-10.033733,source_8,JCP2022_050797
24.852282,-8.548846,source_2,JCP2022_085227
27.693857,-9.296377,source_8,JCP2022_046054
26.708456,-10.616892,source_5,JCP2022_064022
26.205864,-6.91036,source_5,JCP2022_035095
25.506283,-11.864518,source_2,JCP2022_064022
25.352552,-7.406694,source_6,JCP2022_012818
26.1929,-11.315223,source_2,JCP2022_064022
21.926872,-10.180857,source_10,JCP2022_037716
24.102726,-10.458887,source_2,JCP2022_025848
23.587978,-9.885331,source_11,JCP2022_050797
26.209246,-7.7846265,source_8,JCP2022_035095
27.887245,-9.907615,source_11,JCP2022_046054
25.386015,-9.6507225,source_11,JCP2022_085227
24.768444,-10.834246,source_8,JCP2022_050797
22.3615,-9.440411,source_11,JCP2022_037716
24.504019,-9.278226,source_3,JCP2022_035095
27.85494,-9.563472,source_5,JCP2022_046054
26.727926,-8.413314,source_5,JCP2022_050797
26.102304,-9.610499,source_6,JCP2022_050797
25.540117,-9.285024,source_8,JCP2022_085227
25.179882,-5.9844456,source_8,JCP2022_035095
24.42791,-11.747897,source_8,JCP2022_012818
24.62162,-8.600368,source_10,JCP2022_025848
24.974583,-6.4317594,source_2,JCP2022_035095
26.107752,-11.892973,source_3,JCP2022_064022
23.85678,-11.525594,source_10,JCP2022_012818
24.372309,-9.377354,source_11,JCP2022_050797
25.250969,-8.701038,source_6,JCP2022_085227
24.76649,-11.194049,source_6,JCP2022_050797
21.306278,-10.155937,source_5,JCP2022_037716
26.259195,-7.538037,source_6,JCP2022_025848
28.44362,-8.659068,source_5,JCP2022_046054
26.430183,-7.9452395,source_11,JCP2022_035095
24.40388,-11.644735,source_8,JCP2022_012818
24.418282,-11.768739,source_8,JCP2022_012818
26.39285,-8.478584,source_10,JCP2022_025848
25.890211,-8.637887,source_10,JCP2022_050797
22.421629,-9.431,source_11,JCP2022_037716
25.833387,-9.496923,source_8,JCP2022_050797
24.78379,-9.714462,source_6,JCP2022_085227
25.799019,-7.3121314,source_5,JCP2022_035095
28.555305,-8.500857,source_6,JCP2022_046054
28.542883,-8.500903,source_6,JCP2022_046054
26.25004,-8.757493,source_11,JCP2022_050797
22.06575,-9.982855,source_2,JCP2022_037716
25.928465,-11.203236,source_3,JCP2022_064022
24.2816,-11.356471,source_2,JCP2022_012818
22.389633,-9.828727,source_2,JCP2022_037716
24.572144,-9.362096,source_11,JCP2022_050797
26.891172,-9.1434965,source_6,JCP2022_025848
25.636768,-6.6471596,source_11,JCP2022_035095
24.014938,-11.111586,source_2,JCP2022_012818
24.32947,-9.683311,source_11,JCP2022_085227
25.993187,-8.824599,source_2,JCP2022_050797
25.524565,-10.715874,source_5,JCP2022_050797
25.377794,-9.998248,source_3,JCP2022_085227
28.151731,-8.658585,source_10,JCP2022_046054
24.182756,-11.235568,source_3,JCP2022_012818
28.376633,-8.375614,source_5,JCP2022_046054
26.541458,-11.810018,source_11,JCP2022_064022
